# x y radius 
#  E:2.24e+06 E_potential:2.24e+06 E_contact:5.40e+03
1.50000e+00 2.99009e-01 2.03267e-01
2.50000e+00 4.26789e-01 4.26789e-01
3.50000e+00 3.84279e-01 3.84279e-01
4.50000e+00 3.90192e-01 3.90192e-01
5.50000e+00 2.99009e-01 2.88912e-01
6.41241e+00 3.14160e-01 3.14161e-01
7.16949e+00 4.55642e-01 4.55642e-01
8.22330e+00 6.24863e-01 6.24863e-01
9.22796e+00 1.12086e+00 5.15489e-01
1.03127e+01 6.87291e-01 6.87291e-01
1.00000e+00 1.29897e+00 4.84850e-01
2.00000e+00 1.29897e+00 3.06759e-01
3.00000e+00 1.29897e+00 5.40730e-01
4.00000e+00 1.29897e+00 3.78200e-01
5.28953e+00 1.41318e+00 4.96823e-01
6.00046e+00 1.18609e+00 2.53642e-01
6.80847e+00 1.41501e+00 5.90259e-01
7.93775e+00 1.81018e+00 6.11014e-01
8.85635e+00 1.84407e+00 3.13233e-01
1.00412e+01 1.94051e+00 6.32263e-01
1.50000e+00 2.29905e+00 3.03722e-01
2.45811e+00 2.29905e+00 4.58522e-01
3.37271e+00 2.33191e+00 4.56213e-01
4.48802e+00 2.24432e+00 6.65174e-01
5.56136e+00 2.30185e+00 3.40155e-01
6.41924e+00 2.29905e+00 2.66207e-01
7.08804e+00 2.36523e+00 4.05845e-01
8.70355e+00 2.69141e+00 5.58722e-01
9.81924e+00 3.07406e+00 5.46789e-01
1.07647e+01 2.41617e+00 2.35280e-01
1.00000e+00 3.29905e+00 5.35578e-01
2.00000e+00 3.29905e+00 4.51293e-01
2.95713e+00 3.29904e+00 4.71856e-01
3.96812e+00 3.28930e+00 4.57513e-01
4.94526e+00 3.29905e+00 3.60493e-01
5.76100e+00 3.29920e+00 4.54904e-01
6.79315e+00 3.67227e+00 6.01748e-01
8.11034e+00 3.68278e+00 5.96246e-01
9.14374e+00 3.78943e+00 4.52824e-01
1.05627e+01 3.40549e+00 2.68164e-01
1.50000e+00 4.29905e+00 4.75879e-01
2.50000e+00 4.29905e+00 2.37212e-01
3.42836e+00 4.20716e+00 5.50189e-01
4.57106e+00 4.22866e+00 5.92512e-01
5.51063e+00 4.29905e+00 3.44590e-01
6.32374e+00 4.61811e+00 4.26074e-01
7.44581e+00 4.79236e+00 6.94379e-01
8.67597e+00 4.65629e+00 5.34943e-01
9.78448e+00 4.48741e+00 4.99880e-01
1.05719e+01 4.29902e+00 3.04731e-01
