# x y radius 
#  E:1.68e+06 E_potential:1.65e+06 E_contact:3.25e+04
6.84934e-01 2.03267e-01 2.03267e-01
1.27084e+00 4.26789e-01 4.26789e-01
3.10392e+00 3.84279e-01 3.84279e-01
4.57506e+00 3.90192e-01 3.90192e-01
5.23468e+00 2.88912e-01 2.88912e-01
6.24679e+00 3.14160e-01 3.14161e-01
6.99060e+00 4.55642e-01 4.55642e-01
8.04504e+00 6.24863e-01 6.24863e-01
9.15600e+00 5.15489e-01 5.15489e-01
1.03127e+01 6.87291e-01 6.87291e-01
4.84850e-01 8.51798e-01 4.84850e-01
1.59084e+00 1.06875e+00 3.06759e-01
2.21999e+00 5.40730e-01 5.40730e-01
3.83349e+00 3.78200e-01 3.78200e-01
5.14736e+00 1.03774e+00 4.96823e-01
5.71933e+00 4.93247e-01 2.53642e-01
6.19679e+00 1.17823e+00 5.90259e-01
7.29612e+00 1.54159e+00 6.11014e-01
8.74043e+00 1.21180e+00 3.13233e-01
9.52405e+00 1.69657e+00 6.32263e-01
1.08287e+00 1.34579e+00 3.03722e-01
2.17099e+00 1.53724e+00 4.58522e-01
2.97994e+00 1.17669e+00 4.56213e-01
4.06324e+00 1.36806e+00 6.65174e-01
4.94521e+00 1.84378e+00 3.40155e-01
5.52072e+00 1.67524e+00 2.66207e-01
6.46946e+00 2.12321e+00 4.05845e-01
8.37072e+00 1.98077e+00 5.58722e-01
1.02597e+01 2.60321e+00 5.46789e-01
1.07647e+01 1.46916e+00 2.35280e-01
5.35578e-01 1.94632e+00 5.35578e-01
1.49177e+00 2.11717e+00 4.51293e-01
2.34930e+00 2.44367e+00 4.71856e-01
3.18342e+00 2.04855e+00 4.57513e-01
4.43170e+00 2.31035e+00 3.60493e-01
5.64227e+00 2.35873e+00 4.54904e-01
6.36228e+00 3.11613e+00 6.01748e-01
7.47918e+00 2.70195e+00 5.96246e-01
9.10016e+00 2.67474e+00 4.52824e-01
1.07318e+01 1.95684e+00 2.68164e-01
9.48209e-01 2.86305e+00 4.75879e-01
2.53330e+00 3.12601e+00 2.37212e-01
3.31468e+00 3.03425e+00 5.50189e-01
4.43249e+00 3.25102e+00 5.92512e-01
5.35022e+00 3.09149e+00 3.44590e-01
5.61053e+00 3.81180e+00 4.26074e-01
7.33358e+00 3.96812e+00 6.94379e-01
8.39539e+00 3.35138e+00 5.34943e-01
9.64913e+00 3.44576e+00 4.99880e-01
1.06953e+01 3.32986e+00 3.04731e-01
