# x y radius 
#  E:2.20e+06 E_potential:2.19e+06 E_contact:5.50e+03
1.50000e+00 2.03267e-01 2.03267e-01
2.45154e+00 4.26789e-01 4.26789e-01
3.50000e+00 3.84279e-01 3.84279e-01
4.50000e+00 3.90192e-01 3.90192e-01
5.50000e+00 2.88912e-01 2.88912e-01
6.39652e+00 3.14160e-01 3.14161e-01
7.15344e+00 4.55642e-01 4.55642e-01
8.20527e+00 6.24863e-01 6.24863e-01
9.21873e+00 1.09667e+00 5.15489e-01
1.03127e+01 6.87291e-01 6.87291e-01
1.00000e+00 1.19896e+00 4.84850e-01
2.00000e+00 1.19896e+00 3.06759e-01
3.04846e+00 1.19899e+00 5.40730e-01
3.97754e+00 1.19895e+00 3.78200e-01
5.32704e+00 1.33658e+00 4.96823e-01
6.02119e+00 1.05813e+00 2.53642e-01
6.78445e+00 1.41204e+00 5.90259e-01
7.91322e+00 1.80790e+00 6.11014e-01
8.83230e+00 1.81339e+00 3.13233e-01
9.99991e+00 1.93133e+00 6.32263e-01
1.50000e+00 2.19906e+00 3.03722e-01
2.44000e+00 2.19906e+00 4.58522e-01
3.35966e+00 2.23464e+00 4.56213e-01
4.47306e+00 2.11709e+00 6.65174e-01
5.56136e+00 2.20199e+00 3.40155e-01
6.41133e+00 2.19903e+00 2.66207e-01
7.06320e+00 2.36251e+00 4.05845e-01
8.70338e+00 2.66567e+00 5.58722e-01
9.85756e+00 3.07738e+00 5.46789e-01
1.07647e+01 2.33723e+00 2.35280e-01
1.00000e+00 3.19906e+00 5.35578e-01
2.00000e+00 3.19906e+00 4.51293e-01
2.95274e+00 3.19905e+00 4.71856e-01
3.96812e+00 3.18857e+00 4.57513e-01
4.94526e+00 3.19906e+00 3.60493e-01
5.76100e+00 3.20205e+00 4.54904e-01
6.79541e+00 3.65732e+00 6.01748e-01
8.08834e+00 3.65504e+00 5.96246e-01
9.12403e+00 3.73425e+00 4.52824e-01
1.06443e+01 3.28670e+00 2.68164e-01
1.50000e+00 4.19906e+00 4.75879e-01
2.50000e+00 4.19906e+00 2.37212e-01
3.42836e+00 4.10548e+00 5.50189e-01
4.57106e+00 4.12992e+00 5.92512e-01
5.51063e+00 4.19906e+00 3.44590e-01
6.31784e+00 4.56055e+00 4.26074e-01
7.44581e+00 4.78088e+00 6.94379e-01
8.67922e+00 4.61356e+00 5.34943e-01
9.81616e+00 4.38304e+00 4.99880e-01
1.05997e+01 4.19900e+00 3.04731e-01
