# x y radius 
#  E:1.79e+06 E_potential:1.74e+06 E_contact:4.67e+04
1.42096e+00 2.33205e-01 2.32990e-01
2.72446e+00 3.80261e-01 3.80218e-01
3.68973e+00 6.66762e-01 6.65128e-01
4.72273e+00 4.32311e-01 4.31887e-01
5.53706e+00 4.03769e-01 4.03819e-01
7.22727e+00 3.40436e-01 3.38241e-01
7.87285e+00 3.42220e-01 3.41989e-01
8.75323e+00 6.50441e-01 6.43623e-01
9.80535e+00 4.64436e-01 4.63184e-01
1.06109e+01 3.89563e-01 3.88986e-01
6.72271e-01 6.71516e-01 6.71199e-01
1.98990e+00 3.94301e-01 3.91586e-01
2.80284e+00 1.38970e+00 5.17664e-01
4.49339e+00 1.26334e+00 3.70764e-01
5.18636e+00 1.06883e+00 3.82737e-01
6.42040e+00 5.28232e-01 5.25718e-01
7.61269e+00 9.87041e-01 3.94094e-01
8.19860e+00 1.67713e+00 5.30428e-01
9.61865e+00 1.40880e+00 5.26545e-01
1.05416e+01 1.19380e+00 4.57867e-01
1.70890e+00 1.34805e+00 6.19692e-01
2.93889e+00 2.16916e+00 2.83282e-01
3.78557e+00 1.91317e+00 6.08212e-01
5.08471e+00 2.05693e+00 6.33911e-01
5.93233e+00 1.37266e+00 4.59874e-01
6.86996e+00 1.44212e+00 5.09639e-01
7.43631e+00 2.00461e+00 3.09351e-01
8.89989e+00 1.48534e+00 2.07912e-01
9.78148e+00 2.25342e+00 3.47997e-01
1.05536e+01 2.07044e+00 4.41607e-01
6.29402e-01 1.93976e+00 6.22815e-01
2.06760e+00 2.58072e+00 6.88169e-01
3.25886e+00 2.93795e+00 5.54866e-01
4.33374e+00 2.67559e+00 3.49066e-01
6.27395e+00 2.36578e+00 6.00572e-01
7.17207e+00 2.57173e+00 3.24071e-01
7.84620e+00 2.37054e+00 2.51765e-01
8.42111e+00 2.58512e+00 3.69479e-01
9.02986e+00 2.11106e+00 4.17631e-01
1.02380e+01 2.82014e+00 3.87796e-01
8.66497e-01 3.18367e+00 6.58928e-01
2.51716e+00 3.64299e+00 4.72142e-01
4.51242e+00 3.65473e+00 6.62709e-01
5.47191e+00 3.06901e+00 4.64746e-01
6.33563e+00 3.44787e+00 4.87337e-01
7.15788e+00 3.25731e+00 3.65321e-01
7.81315e+00 2.97286e+00 3.57996e-01
8.45156e+00 3.32437e+00 3.73733e-01
9.32419e+00 3.02425e+00 5.51890e-01
1.03845e+01 3.78001e+00 5.97682e-01
