# x y radius 
#  E:1.70e+06 E_potential:1.67e+06 E_contact:2.56e+04
6.91413e-01 2.03267e-01 2.03267e-01
1.27667e+00 4.26789e-01 4.26789e-01
3.11410e+00 3.84279e-01 3.84279e-01
4.58919e+00 3.90192e-01 3.90192e-01
5.24572e+00 2.88912e-01 2.88912e-01
6.22256e+00 3.14160e-01 3.14161e-01
6.96722e+00 4.55642e-01 4.55642e-01
8.01779e+00 6.24863e-01 6.24863e-01
9.14248e+00 5.15489e-01 5.15489e-01
1.03127e+01 6.87291e-01 6.87291e-01
4.84850e-01 8.48164e-01 4.84850e-01
1.59718e+00 1.06943e+00 3.06759e-01
2.22791e+00 5.40730e-01 5.40730e-01
3.84572e+00 3.78200e-01 3.78200e-01
5.16717e+00 1.04266e+00 4.96823e-01
5.71046e+00 5.28464e-01 2.53642e-01
6.22424e+00 1.18237e+00 5.90259e-01
7.31297e+00 1.61944e+00 6.11014e-01
8.72513e+00 1.20974e+00 3.13233e-01
9.52491e+00 1.68477e+00 6.32263e-01
1.08420e+00 1.34106e+00 3.03722e-01
2.18016e+00 1.53573e+00 4.58522e-01
2.99049e+00 1.17562e+00 4.56213e-01
4.07590e+00 1.36864e+00 6.65174e-01
4.96030e+00 1.84648e+00 3.40155e-01
5.54392e+00 1.68623e+00 2.66207e-01
6.43932e+00 2.13090e+00 4.05845e-01
8.39741e+00 1.99764e+00 5.58722e-01
1.02600e+01 2.58941e+00 5.46789e-01
1.07647e+01 1.46434e+00 2.35280e-01
5.35578e-01 1.94283e+00 5.35578e-01
1.49440e+00 2.10862e+00 4.51293e-01
2.35084e+00 2.44272e+00 4.71856e-01
3.18750e+00 2.04783e+00 4.57513e-01
4.43985e+00 2.31003e+00 3.60493e-01
5.61934e+00 2.38552e+00 4.54904e-01
6.61933e+00 3.10373e+00 6.01748e-01
7.79872e+00 2.96424e+00 5.96246e-01
9.13773e+00 2.68265e+00 4.52824e-01
1.07318e+01 1.94842e+00 2.68164e-01
9.54313e-01 2.85713e+00 4.75879e-01
2.77197e+00 3.01075e+00 2.37212e-01
3.55729e+00 2.97187e+00 5.50189e-01
4.66963e+00 3.22163e+00 5.92512e-01
5.60283e+00 3.17482e+00 3.44590e-01
5.93383e+00 3.86451e+00 4.26074e-01
7.44581e+00 4.20853e+00 6.94379e-01
8.74163e+00 3.57861e+00 5.34943e-01
9.76904e+00 3.50107e+00 4.99880e-01
1.06953e+01 3.31616e+00 3.04731e-01
