# x y radius 
#  E:1.69e+06 E_potential:1.66e+06 E_contact:3.01e+04
6.96403e-01 2.03267e-01 2.03267e-01
1.28088e+00 4.26789e-01 4.26789e-01
3.11987e+00 3.84279e-01 3.84279e-01
4.59415e+00 3.90192e-01 3.90192e-01
5.25019e+00 2.88912e-01 2.88912e-01
6.22792e+00 3.14160e-01 3.14161e-01
6.97386e+00 4.55642e-01 4.55642e-01
8.02733e+00 6.24863e-01 6.24863e-01
9.15141e+00 5.15489e-01 5.15489e-01
1.03127e+01 6.87291e-01 6.87291e-01
4.84850e-01 8.44572e-01 4.84850e-01
1.60520e+00 1.06907e+00 3.06759e-01
2.23265e+00 5.40730e-01 5.40730e-01
3.85159e+00 3.78200e-01 3.78200e-01
5.16979e+00 1.04382e+00 4.96823e-01
5.71432e+00 5.28633e-01 2.53642e-01
6.22719e+00 1.18202e+00 5.90259e-01
7.31593e+00 1.61445e+00 6.11014e-01
8.74867e+00 1.19943e+00 3.13233e-01
9.54275e+00 1.69408e+00 6.32263e-01
1.08918e+00 1.32936e+00 3.03722e-01
2.18834e+00 1.53537e+00 4.58522e-01
2.99546e+00 1.17020e+00 4.56213e-01
4.07735e+00 1.37362e+00 6.65174e-01
4.96337e+00 1.84821e+00 3.40155e-01
5.54733e+00 1.68801e+00 2.66207e-01
6.44600e+00 2.13034e+00 4.05845e-01
8.40730e+00 1.96488e+00 5.58722e-01
1.02688e+01 2.60883e+00 5.46789e-01
1.07647e+01 1.46875e+00 2.35280e-01
5.35578e-01 1.92406e+00 5.35578e-01
1.49229e+00 2.09452e+00 4.51293e-01
2.34162e+00 2.44473e+00 4.71856e-01
3.17435e+00 2.03991e+00 4.57513e-01
4.44506e+00 2.31516e+00 3.60493e-01
5.62665e+00 2.38812e+00 4.54904e-01
6.56514e+00 3.11267e+00 6.01748e-01
7.71470e+00 2.84822e+00 5.96246e-01
9.11842e+00 2.67324e+00 4.52824e-01
1.07318e+01 1.95613e+00 2.68164e-01
9.48918e-01 2.84050e+00 4.75879e-01
2.83670e+00 2.94762e+00 2.37212e-01
3.62135e+00 2.92342e+00 5.50189e-01
4.71350e+00 3.21797e+00 5.92512e-01
5.63473e+00 3.17890e+00 3.44590e-01
5.90542e+00 3.89562e+00 4.26074e-01
7.40809e+00 4.09197e+00 6.94379e-01
8.62317e+00 3.51616e+00 5.34943e-01
9.65784e+00 3.45104e+00 4.99880e-01
1.06953e+01 3.34092e+00 3.04731e-01
