# x y radius 
#  E:1.79e+06 E_potential:1.74e+06 E_contact:4.70e+04
1.41957e+00 2.33197e-01 2.32990e-01
2.72429e+00 3.80343e-01 3.80218e-01
3.68978e+00 6.66546e-01 6.65128e-01
4.72271e+00 4.32427e-01 4.31887e-01
5.53679e+00 4.04487e-01 4.03819e-01
7.22733e+00 3.40443e-01 3.38241e-01
7.87283e+00 3.42172e-01 3.41989e-01
8.75301e+00 6.50475e-01 6.43623e-01
9.80488e+00 4.63955e-01 4.63184e-01
1.06106e+01 3.89299e-01 3.88986e-01
6.71591e-01 6.72529e-01 6.71199e-01
1.98918e+00 3.94232e-01 3.91586e-01
2.80288e+00 1.38805e+00 5.17664e-01
4.49319e+00 1.26282e+00 3.70764e-01
5.18597e+00 1.06907e+00 3.82737e-01
6.42006e+00 5.26276e-01 5.25718e-01
7.61226e+00 9.86885e-01 3.94094e-01
8.19885e+00 1.67681e+00 5.30428e-01
9.61867e+00 1.40884e+00 5.26545e-01
1.05413e+01 1.19394e+00 4.57867e-01
1.70919e+00 1.34737e+00 6.19692e-01
2.93822e+00 2.16740e+00 2.83282e-01
3.78584e+00 1.91268e+00 6.08212e-01
5.08339e+00 2.05674e+00 6.33911e-01
5.93178e+00 1.37170e+00 4.59874e-01
6.86843e+00 1.44094e+00 5.09639e-01
7.43567e+00 2.00186e+00 3.09351e-01
8.90009e+00 1.48519e+00 2.07912e-01
9.78107e+00 2.25373e+00 3.47997e-01
1.05524e+01 2.07085e+00 4.41607e-01
6.30290e-01 1.93968e+00 6.22815e-01
2.06687e+00 2.58009e+00 6.88169e-01
3.25798e+00 2.93611e+00 5.54866e-01
4.33290e+00 2.67674e+00 3.49066e-01
6.27220e+00 2.36587e+00 6.00572e-01
7.17093e+00 2.56871e+00 3.24071e-01
7.84412e+00 2.36881e+00 2.51765e-01
8.41906e+00 2.58287e+00 3.69479e-01
9.02976e+00 2.11148e+00 4.17631e-01
1.02372e+01 2.82044e+00 3.87796e-01
8.65716e-01 3.18366e+00 6.58928e-01
2.51722e+00 3.64198e+00 4.72142e-01
4.51329e+00 3.65628e+00 6.62709e-01
5.47116e+00 3.06829e+00 4.64746e-01
6.33421e+00 3.44834e+00 4.87337e-01
7.15564e+00 3.25444e+00 3.65321e-01
7.81128e+00 2.97085e+00 3.57996e-01
8.44991e+00 3.32198e+00 3.73733e-01
9.32365e+00 3.02500e+00 5.51890e-01
1.03878e+01 3.77913e+00 5.97682e-01
