# x y radius 
#  E:1.93e+06 E_potential:1.92e+06 E_contact:1.08e+04
9.64381e-01 2.03267e-01 2.03267e-01
1.53806e+00 4.26789e-01 4.26789e-01
3.19789e+00 3.84279e-01 3.84279e-01
4.59345e+00 3.90192e-01 3.90192e-01
5.69116e+00 2.88912e-01 2.88912e-01
6.29085e+00 3.14160e-01 3.14161e-01
7.03032e+00 4.55642e-01 4.55642e-01
8.07151e+00 6.24863e-01 6.24863e-01
9.15535e+00 8.69115e-01 5.15489e-01
1.03127e+01 6.87291e-01 6.87291e-01
4.84850e-01 6.70461e-01 4.84850e-01
1.17282e+00 1.05606e+00 3.06759e-01
2.40310e+00 8.17932e-01 5.40730e-01
3.88861e+00 6.60265e-01 3.78200e-01
5.26705e+00 9.41738e-01 4.96823e-01
5.96838e+00 7.52670e-01 2.53642e-01
6.53536e+00 1.35653e+00 5.90259e-01
7.64680e+00 1.76554e+00 6.11014e-01
8.54657e+00 1.42632e+00 3.13233e-01
9.76086e+00 1.84207e+00 6.32263e-01
1.04543e+00 1.65085e+00 3.03722e-01
1.80999e+00 1.62109e+00 4.58522e-01
3.21202e+00 1.65262e+00 4.56213e-01
4.32681e+00 1.59479e+00 6.65174e-01
5.31202e+00 1.77291e+00 3.40155e-01
5.89639e+00 1.91556e+00 2.66207e-01
6.79229e+00 2.31392e+00 4.05845e-01
8.67525e+00 2.28443e+00 5.58722e-01
1.00488e+01 2.96884e+00 5.46789e-01
1.07647e+01 1.64575e+00 2.35280e-01
1.00000e+00 2.59910e+00 5.35578e-01
1.99256e+00 2.59910e+00 4.51293e-01
2.92787e+00 2.59909e+00 4.71856e-01
3.85892e+00 2.60585e+00 4.57513e-01
4.94483e+00 2.59910e+00 3.60493e-01
5.76001e+00 2.61918e+00 4.54904e-01
6.80536e+00 3.52400e+00 6.01748e-01
7.99531e+00 3.43218e+00 5.96246e-01
9.06813e+00 3.20851e+00 4.52824e-01
1.07318e+01 2.52502e+00 2.68164e-01
1.50000e+00 3.59910e+00 4.75879e-01
2.50000e+00 3.59910e+00 2.37212e-01
3.42486e+00 3.50750e+00 5.50189e-01
4.57106e+00 3.53435e+00 5.92512e-01
5.51063e+00 3.59910e+00 3.44590e-01
6.22320e+00 4.36306e+00 4.26074e-01
7.44581e+00 4.68896e+00 6.94379e-01
8.77332e+00 4.24205e+00 5.34943e-01
9.80575e+00 3.97884e+00 4.99880e-01
1.06569e+01 3.59901e+00 3.04731e-01
