# x y radius 
#  E:1.73e+06 E_potential:1.71e+06 E_contact:2.44e+04
6.95836e-01 2.03267e-01 2.03267e-01
1.28045e+00 4.26789e-01 4.26789e-01
3.11081e+00 3.84279e-01 3.84279e-01
4.60031e+00 3.90192e-01 3.90192e-01
5.26229e+00 2.88912e-01 2.88912e-01
6.23943e+00 3.14160e-01 3.14161e-01
6.98129e+00 4.55642e-01 4.55642e-01
8.03007e+00 6.24863e-01 6.24863e-01
9.14896e+00 5.15489e-01 5.15489e-01
1.03127e+01 6.87291e-01 6.87291e-01
4.84850e-01 8.45185e-01 4.84850e-01
1.21778e+00 1.14473e+00 3.06759e-01
2.22470e+00 5.40730e-01 5.40730e-01
3.84664e+00 3.78200e-01 3.78200e-01
5.19157e+00 1.04077e+00 4.96823e-01
5.73208e+00 5.31730e-01 2.53642e-01
6.24623e+00 1.19370e+00 5.90259e-01
7.33398e+00 1.62384e+00 6.11014e-01
8.73915e+00 1.21406e+00 3.13233e-01
9.53947e+00 1.69557e+00 6.32263e-01
7.87192e-01 1.56417e+00 3.03722e-01
1.91132e+00 1.45368e+00 4.58522e-01
2.96641e+00 1.20175e+00 4.56213e-01
4.10141e+00 1.34142e+00 6.65174e-01
4.97471e+00 1.84128e+00 3.40155e-01
5.56028e+00 1.69118e+00 2.66207e-01
6.47589e+00 2.15818e+00 4.05845e-01
8.41308e+00 2.00321e+00 5.58722e-01
1.02744e+01 2.60099e+00 5.46789e-01
1.07647e+01 1.46458e+00 2.35280e-01
5.35578e-01 2.35311e+00 5.35578e-01
1.48702e+00 2.23463e+00 4.51293e-01
2.39015e+00 2.24132e+00 4.71856e-01
3.27646e+00 2.05657e+00 4.57513e-01
4.44345e+00 2.29049e+00 3.60493e-01
5.65148e+00 2.39077e+00 4.54904e-01
6.75738e+00 3.23413e+00 6.01748e-01
7.92934e+00 3.03221e+00 5.96246e-01
9.14818e+00 2.69224e+00 4.52824e-01
1.07318e+01 1.94886e+00 2.68164e-01
1.20208e+00 3.10953e+00 4.75879e-01
2.65127e+00 2.89770e+00 2.37212e-01
3.42440e+00 3.04184e+00 5.50189e-01
4.57399e+00 3.22034e+00 5.92512e-01
5.50553e+00 3.16802e+00 3.44590e-01
5.91522e+00 3.81514e+00 4.26074e-01
7.44581e+00 4.46702e+00 6.94379e-01
8.88123e+00 3.63452e+00 5.34943e-01
9.91074e+00 3.57098e+00 4.99880e-01
1.06953e+01 3.33663e+00 3.04731e-01
