# x y radius 
#  E:1.79e+06 E_potential:1.74e+06 E_contact:4.73e+04
1.41931e+00 2.33789e-01 2.32990e-01
2.72457e+00 3.80694e-01 3.80218e-01
3.69067e+00 6.66587e-01 6.65128e-01
4.72386e+00 4.32950e-01 4.31887e-01
5.53787e+00 4.03808e-01 4.03819e-01
7.22771e+00 3.40299e-01 3.38241e-01
7.87305e+00 3.41941e-01 3.41989e-01
8.75467e+00 6.45905e-01 6.43623e-01
9.80660e+00 4.64429e-01 4.63184e-01
1.06109e+01 3.89271e-01 3.88986e-01
6.71959e-01 6.73239e-01 6.71199e-01
1.98914e+00 3.92464e-01 3.91586e-01
2.80303e+00 1.38782e+00 5.17664e-01
4.49445e+00 1.26310e+00 3.70764e-01
5.18762e+00 1.06953e+00 3.82737e-01
6.42116e+00 5.28177e-01 5.25718e-01
7.61138e+00 9.86149e-01 3.94094e-01
8.20088e+00 1.67364e+00 5.30428e-01
9.61836e+00 1.40780e+00 5.26545e-01
1.05406e+01 1.19351e+00 4.57867e-01
1.70872e+00 1.34747e+00 6.19692e-01
2.93919e+00 2.16709e+00 2.83282e-01
3.78627e+00 1.91243e+00 6.08212e-01
5.08458e+00 2.05754e+00 6.33911e-01
5.93303e+00 1.37321e+00 4.59874e-01
6.86973e+00 1.44323e+00 5.09639e-01
7.43945e+00 2.00143e+00 3.09351e-01
8.90056e+00 1.48109e+00 2.07912e-01
9.78307e+00 2.25240e+00 3.47997e-01
1.05577e+01 2.07018e+00 4.41607e-01
6.27077e-01 1.93895e+00 6.22815e-01
2.06799e+00 2.57917e+00 6.88169e-01
3.25819e+00 2.93617e+00 5.54866e-01
4.33321e+00 2.67603e+00 3.49066e-01
6.27310e+00 2.36709e+00 6.00572e-01
7.17232e+00 2.56669e+00 3.24071e-01
7.84870e+00 2.36766e+00 2.51765e-01
8.42271e+00 2.58381e+00 3.69479e-01
9.03119e+00 2.11083e+00 4.17631e-01
1.02404e+01 2.81870e+00 3.87796e-01
8.66925e-01 3.18122e+00 6.58928e-01
2.51689e+00 3.64154e+00 4.72142e-01
4.51306e+00 3.65519e+00 6.62709e-01
5.47260e+00 3.06976e+00 4.64746e-01
6.33665e+00 3.44878e+00 4.87337e-01
7.15773e+00 3.25204e+00 3.65321e-01
7.81444e+00 2.97035e+00 3.57996e-01
8.45335e+00 3.32266e+00 3.73733e-01
9.32732e+00 3.02424e+00 5.51890e-01
1.03840e+01 3.77888e+00 5.97682e-01
