# x y radius 
#  E:1.71e+06 E_potential:1.69e+06 E_contact:2.07e+04
6.52101e-01 2.03267e-01 2.03267e-01
1.24115e+00 4.26789e-01 4.26789e-01
3.07606e+00 3.84279e-01 3.84279e-01
4.56934e+00 3.90192e-01 3.90192e-01
5.23232e+00 2.88912e-01 2.88912e-01
6.21618e+00 3.14160e-01 3.14161e-01
6.96157e+00 4.55642e-01 4.55642e-01
8.01556e+00 6.24863e-01 6.24863e-01
9.14166e+00 5.15489e-01 5.15489e-01
1.03127e+01 6.87291e-01 6.87291e-01
4.84850e-01 8.90424e-01 4.84850e-01
1.50316e+00 1.10282e+00 3.06759e-01
2.18374e+00 5.40730e-01 5.40730e-01
3.81518e+00 3.78200e-01 3.78200e-01
5.16007e+00 1.04024e+00 4.96823e-01
5.70406e+00 5.30154e-01 2.53642e-01
6.22052e+00 1.18994e+00 5.90259e-01
7.31377e+00 1.61789e+00 6.11014e-01
8.72327e+00 1.20963e+00 3.13233e-01
9.52379e+00 1.68370e+00 6.32263e-01
1.01791e+00 1.46822e+00 3.03722e-01
2.13614e+00 1.52193e+00 4.58522e-01
2.96549e+00 1.18420e+00 4.56213e-01
4.06587e+00 1.35284e+00 6.65174e-01
4.95074e+00 1.84282e+00 3.40155e-01
5.53430e+00 1.68572e+00 2.66207e-01
6.45549e+00 2.14913e+00 4.05845e-01
8.39637e+00 1.99835e+00 5.58722e-01
1.02567e+01 2.59021e+00 5.46789e-01
1.07647e+01 1.46548e+00 2.35280e-01
5.35578e-01 2.15307e+00 5.35578e-01
1.49787e+00 2.14127e+00 4.51293e-01
2.36595e+00 2.41903e+00 4.71856e-01
3.20520e+00 2.04887e+00 4.57513e-01
4.42326e+00 2.29629e+00 3.60493e-01
5.63279e+00 2.38261e+00 4.54904e-01
6.69332e+00 3.12371e+00 6.01748e-01
7.87809e+00 3.01163e+00 5.96246e-01
9.13808e+00 2.68141e+00 4.52824e-01
1.07318e+01 1.95043e+00 2.68164e-01
1.11256e+00 2.98102e+00 4.75879e-01
2.66511e+00 3.05894e+00 2.37212e-01
3.45005e+00 3.01299e+00 5.50189e-01
4.56937e+00 3.22420e+00 5.92512e-01
5.49895e+00 3.16007e+00 3.44590e-01
5.92119e+00 3.79721e+00 4.26074e-01
7.44581e+00 4.36647e+00 6.94379e-01
8.83214e+00 3.61120e+00 5.34943e-01
9.86164e+00 3.54798e+00 4.99880e-01
1.06953e+01 3.31529e+00 3.04731e-01
