# x y radius 
#  E:2.64e+06 E_potential:2.53e+06 E_contact:1.03e+05
1.50000e+00 7.99003e-01 2.03267e-01
2.50000e+00 7.99003e-01 4.26789e-01
3.50000e+00 7.99003e-01 3.84279e-01
4.50000e+00 7.99003e-01 3.90192e-01
5.50000e+00 7.99003e-01 2.88912e-01
6.50000e+00 7.99003e-01 3.14161e-01
7.30600e+00 7.99733e-01 4.55642e-01
8.32817e+00 7.99158e-01 6.24863e-01
9.33153e+00 1.13207e+00 5.15489e-01
1.03127e+01 8.39559e-01 6.87291e-01
1.00000e+00 1.79899e+00 4.84850e-01
2.00000e+00 1.79899e+00 3.06759e-01
3.00000e+00 1.79899e+00 5.40730e-01
4.00000e+00 1.79899e+00 3.78200e-01
5.14371e+00 1.83456e+00 4.96823e-01
6.00000e+00 1.79899e+00 2.53642e-01
6.87119e+00 1.79871e+00 5.90259e-01
8.02469e+00 1.93721e+00 6.11014e-01
8.94063e+00 1.84677e+00 3.13233e-01
9.93176e+00 2.06903e+00 6.32263e-01
1.50000e+00 2.79901e+00 3.03722e-01
2.50000e+00 2.79901e+00 4.58522e-01
3.43337e+00 2.80993e+00 4.56213e-01
4.55194e+00 2.82372e+00 6.65174e-01
5.56136e+00 2.80025e+00 3.40155e-01
6.50000e+00 2.79901e+00 2.66207e-01
7.48494e+00 2.79912e+00 4.05845e-01
8.63162e+00 2.86444e+00 5.58722e-01
9.66254e+00 3.17775e+00 5.46789e-01
1.05000e+01 2.79901e+00 2.35280e-01
1.00000e+00 3.79901e+00 5.35578e-01
2.00000e+00 3.79901e+00 4.51293e-01
3.00000e+00 3.79901e+00 4.71856e-01
3.96812e+00 3.79778e+00 4.57513e-01
5.00000e+00 3.79901e+00 3.60493e-01
5.83431e+00 3.79627e+00 4.54904e-01
6.86976e+00 3.82358e+00 6.01748e-01
8.11688e+00 3.85919e+00 5.96246e-01
9.13727e+00 4.00746e+00 4.52824e-01
1.01114e+01 3.85421e+00 2.68164e-01
1.50000e+00 4.79901e+00 4.75879e-01
2.50000e+00 4.79901e+00 2.37212e-01
3.42840e+00 4.72713e+00 5.50189e-01
4.57102e+00 4.71483e+00 5.92512e-01
5.51063e+00 4.79901e+00 3.44590e-01
6.35690e+00 5.06948e+00 4.26074e-01
7.42780e+00 4.80562e+00 6.94379e-01
8.61992e+00 4.94865e+00 5.34943e-01
9.64120e+00 4.80493e+00 4.99880e-01
1.05000e+01 4.79901e+00 3.04731e-01
