# x y radius 
#  E:1.69e+06 E_potential:1.66e+06 E_contact:2.90e+04
6.99953e-01 2.03267e-01 2.03267e-01
1.28400e+00 4.26789e-01 4.26789e-01
3.12496e+00 3.84279e-01 3.84279e-01
4.60105e+00 3.90192e-01 3.90192e-01
5.25781e+00 2.88912e-01 2.88912e-01
6.23569e+00 3.14160e-01 3.14161e-01
6.98174e+00 4.55642e-01 4.55642e-01
8.03708e+00 6.24863e-01 6.24863e-01
9.15484e+00 5.15489e-01 5.15489e-01
1.03127e+01 6.87291e-01 6.87291e-01
4.84850e-01 8.42404e-01 4.84850e-01
1.60845e+00 1.06858e+00 3.06759e-01
2.23714e+00 5.40730e-01 5.40730e-01
3.85749e+00 3.78200e-01 3.78200e-01
5.17727e+00 1.04387e+00 4.96823e-01
5.72234e+00 5.29559e-01 2.53642e-01
6.23432e+00 1.18449e+00 5.90259e-01
7.32754e+00 1.59913e+00 6.11014e-01
8.75299e+00 1.20616e+00 3.13233e-01
9.54860e+00 1.69741e+00 6.32263e-01
1.09038e+00 1.32565e+00 3.03722e-01
2.19172e+00 1.53399e+00 4.58522e-01
3.00076e+00 1.17154e+00 4.56213e-01
4.08433e+00 1.37270e+00 6.65174e-01
4.97018e+00 1.84746e+00 3.40155e-01
5.55388e+00 1.68965e+00 2.66207e-01
6.47201e+00 2.13328e+00 4.05845e-01
8.41555e+00 1.97905e+00 5.58722e-01
1.02736e+01 2.61299e+00 5.46789e-01
1.07647e+01 1.46903e+00 2.35280e-01
5.35578e-01 1.91991e+00 5.35578e-01
1.49475e+00 2.09308e+00 4.51293e-01
2.34767e+00 2.44116e+00 4.71856e-01
3.18468e+00 2.04187e+00 4.57513e-01
4.45329e+00 2.31411e+00 3.60493e-01
5.65302e+00 2.38816e+00 4.54904e-01
6.48597e+00 3.12639e+00 6.01748e-01
7.60777e+00 2.76153e+00 5.96246e-01
9.13609e+00 2.68088e+00 4.52824e-01
1.07318e+01 1.95662e+00 2.68164e-01
9.48096e-01 2.83666e+00 4.75879e-01
2.74425e+00 3.02537e+00 2.37212e-01
3.52812e+00 2.97194e+00 5.50189e-01
4.62953e+00 3.23906e+00 5.92512e-01
5.55143e+00 3.17290e+00 3.44590e-01
5.81133e+00 3.89483e+00 4.26074e-01
7.41690e+00 4.02556e+00 6.94379e-01
8.51175e+00 3.43315e+00 5.34943e-01
9.67126e+00 3.46161e+00 4.99880e-01
1.06953e+01 3.34782e+00 3.04731e-01
