# x y radius 
#  E:1.69e+06 E_potential:1.67e+06 E_contact:2.75e+04
6.94583e-01 2.03267e-01 2.03267e-01
1.27934e+00 4.26789e-01 4.26789e-01
3.11811e+00 3.84279e-01 3.84279e-01
4.59323e+00 3.90192e-01 3.90192e-01
5.24975e+00 2.88912e-01 2.88912e-01
6.22511e+00 3.14160e-01 3.14161e-01
6.97028e+00 4.55642e-01 4.55642e-01
8.02258e+00 6.24863e-01 6.24863e-01
9.14648e+00 5.15489e-01 5.15489e-01
1.03127e+01 6.87291e-01 6.87291e-01
4.84850e-01 8.45880e-01 4.84850e-01
1.60240e+00 1.06915e+00 3.06759e-01
2.23092e+00 5.40730e-01 5.40730e-01
3.85006e+00 3.78200e-01 3.78200e-01
5.16887e+00 1.04410e+00 4.96823e-01
5.71337e+00 5.30661e-01 2.53642e-01
6.22712e+00 1.18432e+00 5.90259e-01
7.31709e+00 1.61941e+00 6.11014e-01
8.73744e+00 1.20629e+00 3.13233e-01
9.53550e+00 1.69226e+00 6.32263e-01
1.08751e+00 1.33343e+00 3.03722e-01
2.18518e+00 1.53582e+00 4.58522e-01
2.99319e+00 1.17188e+00 4.56213e-01
4.07608e+00 1.37191e+00 6.65174e-01
4.96123e+00 1.84829e+00 3.40155e-01
5.54553e+00 1.68815e+00 2.66207e-01
6.44527e+00 2.13442e+00 4.05845e-01
8.40613e+00 1.98567e+00 5.58722e-01
1.02745e+01 2.59530e+00 5.46789e-01
1.07647e+01 1.46266e+00 2.35280e-01
5.35578e-01 1.93046e+00 5.35578e-01
1.49250e+00 2.09966e+00 4.51293e-01
2.34357e+00 2.44480e+00 4.71856e-01
3.17699e+00 2.04236e+00 4.57513e-01
4.44084e+00 2.31345e+00 3.60493e-01
5.62409e+00 2.38783e+00 4.54904e-01
6.59145e+00 3.11506e+00 6.01748e-01
7.75222e+00 2.90533e+00 5.96246e-01
9.13332e+00 2.68533e+00 4.52824e-01
1.07318e+01 1.94548e+00 2.68164e-01
9.50159e-01 2.84649e+00 4.75879e-01
2.85604e+00 2.93035e+00 2.37212e-01
3.64110e+00 2.91860e+00 5.50189e-01
4.73653e+00 3.20679e+00 5.92512e-01
5.65954e+00 3.17750e+00 3.44590e-01
5.92734e+00 3.89488e+00 4.26074e-01
7.38442e+00 4.13722e+00 6.94379e-01
8.67163e+00 3.55081e+00 5.34943e-01
9.69592e+00 3.45318e+00 4.99880e-01
1.06953e+01 3.33043e+00 3.04731e-01
