# x y radius 
#  E:1.79e+06 E_potential:1.74e+06 E_contact:4.74e+04
1.41910e+00 2.33114e-01 2.32990e-01
2.72264e+00 3.80540e-01 3.80218e-01
3.68851e+00 6.65963e-01 6.65128e-01
4.72158e+00 4.32737e-01 4.31887e-01
5.53577e+00 4.04248e-01 4.03819e-01
7.22637e+00 3.38631e-01 3.38241e-01
7.87215e+00 3.43001e-01 3.41989e-01
8.75516e+00 6.44070e-01 6.43623e-01
9.80682e+00 4.64242e-01 4.63184e-01
1.06105e+01 3.89468e-01 3.88986e-01
6.72440e-01 6.73130e-01 6.71199e-01
1.98799e+00 3.93329e-01 3.91586e-01
2.80208e+00 1.38947e+00 5.17664e-01
4.49214e+00 1.26335e+00 3.70764e-01
5.18501e+00 1.06965e+00 3.82737e-01
6.41936e+00 5.26783e-01 5.25718e-01
7.61060e+00 9.87235e-01 3.94094e-01
8.20189e+00 1.67276e+00 5.30428e-01
9.61847e+00 1.40763e+00 5.26545e-01
1.05408e+01 1.19288e+00 4.57867e-01
1.70753e+00 1.34821e+00 6.19692e-01
2.93830e+00 2.16888e+00 2.83282e-01
3.78495e+00 1.91290e+00 6.08212e-01
5.08311e+00 2.05774e+00 6.33911e-01
5.93080e+00 1.37235e+00 4.59874e-01
6.86759e+00 1.44178e+00 5.09639e-01
7.43928e+00 1.99834e+00 3.09351e-01
8.90087e+00 1.47905e+00 2.07912e-01
9.78292e+00 2.25272e+00 3.47997e-01
1.05511e+01 2.06904e+00 4.41607e-01
6.23861e-01 1.93886e+00 6.22815e-01
2.06670e+00 2.57970e+00 6.88169e-01
3.25812e+00 2.93763e+00 5.54866e-01
4.33194e+00 2.67664e+00 3.49066e-01
6.27245e+00 2.36646e+00 6.00572e-01
7.17232e+00 2.56396e+00 3.24071e-01
7.84757e+00 2.36580e+00 2.51765e-01
8.42159e+00 2.58213e+00 3.69479e-01
9.03141e+00 2.11096e+00 4.17631e-01
1.02391e+01 2.81994e+00 3.87796e-01
8.65226e-01 3.18071e+00 6.58928e-01
2.51577e+00 3.64191e+00 4.72142e-01
4.51378e+00 3.65559e+00 6.62709e-01
5.47282e+00 3.06944e+00 4.64746e-01
6.33642e+00 3.44868e+00 4.87337e-01
7.15661e+00 3.24938e+00 3.65321e-01
7.81335e+00 2.96850e+00 3.57996e-01
8.45165e+00 3.32099e+00 3.73733e-01
9.32574e+00 3.02439e+00 5.51890e-01
1.03950e+01 3.77824e+00 5.97682e-01
