# x y radius 
#  E:1.68e+06 E_potential:1.65e+06 E_contact:3.22e+04
6.89456e-01 2.03267e-01 2.03267e-01
1.27486e+00 4.26789e-01 4.26789e-01
3.11100e+00 3.84279e-01 3.84279e-01
4.58290e+00 3.90192e-01 3.90192e-01
5.24201e+00 2.88912e-01 2.88912e-01
6.24838e+00 3.14160e-01 3.14161e-01
6.99271e+00 4.55642e-01 4.55642e-01
8.04786e+00 6.24863e-01 6.24863e-01
9.15740e+00 5.15489e-01 5.15489e-01
1.03127e+01 6.87291e-01 6.87291e-01
4.84850e-01 8.49141e-01 4.84850e-01
1.59433e+00 1.06652e+00 3.06759e-01
2.22662e+00 5.40730e-01 5.40730e-01
3.84166e+00 3.78200e-01 3.78200e-01
5.15438e+00 1.03880e+00 4.96823e-01
5.72319e+00 4.99964e-01 2.53642e-01
6.20564e+00 1.18062e+00 5.90259e-01
7.30575e+00 1.54447e+00 6.11014e-01
8.74428e+00 1.21275e+00 3.13233e-01
9.52938e+00 1.69792e+00 6.32263e-01
1.08490e+00 1.34053e+00 3.03722e-01
2.17517e+00 1.53038e+00 4.58522e-01
2.98746e+00 1.18058e+00 4.56213e-01
4.06933e+00 1.37460e+00 6.65174e-01
4.95397e+00 1.84490e+00 3.40155e-01
5.52888e+00 1.67671e+00 2.66207e-01
6.48352e+00 2.12570e+00 4.05845e-01
8.37907e+00 1.98361e+00 5.58722e-01
1.02634e+01 2.60581e+00 5.46789e-01
1.07647e+01 1.46912e+00 2.35280e-01
5.35578e-01 1.93911e+00 5.35578e-01
1.48813e+00 2.09923e+00 4.51293e-01
2.33862e+00 2.43158e+00 4.71856e-01
3.18796e+00 2.05967e+00 4.57513e-01
4.44720e+00 2.31766e+00 3.60493e-01
5.65957e+00 2.35947e+00 4.54904e-01
6.37569e+00 3.11888e+00 6.01748e-01
7.49086e+00 2.70563e+00 5.96246e-01
9.10876e+00 2.67719e+00 4.52824e-01
1.07318e+01 1.95678e+00 2.68164e-01
9.55415e-01 2.85295e+00 4.75879e-01
2.34561e+00 3.13844e+00 2.37212e-01
3.12898e+00 3.05935e+00 5.50189e-01
4.24631e+00 3.23993e+00 5.92512e-01
5.12024e+00 2.93245e+00 3.44590e-01
5.47914e+00 3.61087e+00 4.26074e-01
7.34492e+00 3.97219e+00 6.94379e-01
8.40647e+00 3.35600e+00 5.34943e-01
9.65499e+00 3.45004e+00 4.99880e-01
1.06953e+01 3.33459e+00 3.04731e-01
