# x y radius 
#  E:1.74e+06 E_potential:1.71e+06 E_contact:2.32e+04
7.09800e-01 2.03267e-01 2.03267e-01
1.29206e+00 4.26789e-01 4.26789e-01
3.12405e+00 3.84279e-01 3.84279e-01
4.61182e+00 3.90192e-01 3.90192e-01
5.27271e+00 2.88912e-01 2.88912e-01
6.24516e+00 3.14160e-01 3.14161e-01
6.98647e+00 4.55642e-01 4.55642e-01
8.03413e+00 6.24863e-01 6.24863e-01
9.14990e+00 5.15489e-01 5.15489e-01
1.03127e+01 6.87291e-01 6.87291e-01
4.84850e-01 8.34849e-01 4.84850e-01
1.21020e+00 1.14286e+00 3.06759e-01
2.23884e+00 5.40730e-01 5.40730e-01
3.85920e+00 3.78200e-01 3.78200e-01
5.19977e+00 1.04371e+00 4.96823e-01
5.73982e+00 5.34697e-01 2.53642e-01
6.25418e+00 1.19541e+00 5.90259e-01
7.34160e+00 1.62687e+00 6.11014e-01
8.74275e+00 1.21931e+00 3.13233e-01
9.54313e+00 1.70544e+00 6.32263e-01
7.75522e-01 1.55792e+00 3.03722e-01
1.90280e+00 1.44554e+00 4.58522e-01
2.98401e+00 1.20330e+00 4.56213e-01
4.10826e+00 1.34333e+00 6.65174e-01
4.98358e+00 1.84446e+00 3.40155e-01
5.56972e+00 1.69684e+00 2.66207e-01
6.48177e+00 2.16009e+00 4.05845e-01
8.41851e+00 2.01308e+00 5.58722e-01
1.02862e+01 2.60365e+00 5.46789e-01
1.07647e+01 1.46255e+00 2.35280e-01
5.35578e-01 2.34988e+00 5.35578e-01
1.49009e+00 2.23408e+00 4.51293e-01
2.39496e+00 2.22198e+00 4.71856e-01
3.28685e+00 2.06371e+00 4.57513e-01
4.45127e+00 2.29237e+00 3.60493e-01
5.65862e+00 2.40002e+00 4.54904e-01
6.77631e+00 3.26923e+00 6.01748e-01
7.94194e+00 3.04740e+00 5.96246e-01
9.14939e+00 2.70910e+00 4.52824e-01
1.07318e+01 1.94533e+00 2.68164e-01
1.20061e+00 3.10753e+00 4.75879e-01
2.62749e+00 2.88877e+00 2.37212e-01
3.39616e+00 3.05502e+00 5.50189e-01
4.57699e+00 3.22321e+00 5.92512e-01
5.51219e+00 3.18091e+00 3.44590e-01
5.95242e+00 3.87116e+00 4.26074e-01
7.44581e+00 4.49735e+00 6.94379e-01
8.88084e+00 3.65963e+00 5.34943e-01
9.90576e+00 3.56584e+00 4.99880e-01
1.06953e+01 3.34572e+00 3.04731e-01
