# x y radius 
#  E:1.67e+06 E_potential:1.63e+06 E_contact:3.25e+04
6.90728e-01 2.03267e-01 2.03267e-01
1.27590e+00 4.26789e-01 4.26789e-01
3.11056e+00 3.84279e-01 3.84279e-01
4.58094e+00 3.90192e-01 3.90192e-01
5.23995e+00 2.88912e-01 2.88912e-01
6.24485e+00 3.14160e-01 3.14161e-01
6.98924e+00 4.55642e-01 4.55642e-01
8.04422e+00 6.24863e-01 6.24863e-01
9.15510e+00 5.15489e-01 5.15489e-01
1.03127e+01 6.87291e-01 6.87291e-01
4.84850e-01 8.48030e-01 4.84850e-01
1.59903e+00 1.06918e+00 3.06759e-01
2.22595e+00 5.40730e-01 5.40730e-01
3.84013e+00 3.78200e-01 3.78200e-01
5.15250e+00 1.03792e+00 4.96823e-01
5.72028e+00 5.01444e-01 2.53642e-01
6.20187e+00 1.18237e+00 5.90259e-01
7.30036e+00 1.54471e+00 6.11014e-01
8.73864e+00 1.21351e+00 3.13233e-01
9.52407e+00 1.69594e+00 6.32263e-01
1.08679e+00 1.33605e+00 3.03722e-01
2.18226e+00 1.53517e+00 4.58522e-01
2.98780e+00 1.17267e+00 4.56213e-01
4.06751e+00 1.37193e+00 6.65174e-01
4.94702e+00 1.84144e+00 3.40155e-01
5.52393e+00 1.67800e+00 2.66207e-01
6.47618e+00 2.12996e+00 4.05845e-01
8.37305e+00 1.98646e+00 5.58722e-01
1.02593e+01 2.60294e+00 5.46789e-01
1.07647e+01 1.46919e+00 2.35280e-01
5.35578e-01 1.93216e+00 5.35578e-01
1.49016e+00 2.09460e+00 4.51293e-01
2.33885e+00 2.44455e+00 4.71856e-01
3.17340e+00 2.04522e+00 4.57513e-01
3.91554e+00 2.37422e+00 3.60493e-01
5.64909e+00 2.36229e+00 4.54904e-01
6.36170e+00 3.12528e+00 6.01748e-01
7.47764e+00 2.70514e+00 5.96246e-01
9.10623e+00 2.67679e+00 4.52824e-01
1.07318e+01 1.95689e+00 2.68164e-01
9.54559e-01 2.84608e+00 4.75879e-01
1.69901e+00 2.74851e+00 2.37212e-01
3.16347e+00 3.04235e+00 5.50189e-01
4.28581e+00 3.24160e+00 5.92512e-01
4.86629e+00 2.51278e+00 3.44590e-01
5.29789e+00 3.16127e+00 4.26074e-01
7.33849e+00 3.97169e+00 6.94379e-01
8.39740e+00 3.34942e+00 5.34943e-01
9.65358e+00 3.44903e+00 4.99880e-01
1.06953e+01 3.32932e+00 3.04731e-01
