# x y radius 
#  E:2.42e+06 E_potential:2.41e+06 E_contact:7.78e+03
1.50000e+00 5.99005e-01 2.03267e-01
2.50000e+00 5.99005e-01 4.26789e-01
3.50000e+00 5.99005e-01 3.84279e-01
4.50000e+00 5.99005e-01 3.90192e-01
5.50000e+00 5.99005e-01 2.88912e-01
6.44562e+00 5.99005e-01 3.14161e-01
7.21536e+00 5.91380e-01 4.55642e-01
8.28225e+00 6.72375e-01 6.24863e-01
9.25883e+00 1.22726e+00 5.15489e-01
1.03127e+01 7.46670e-01 6.87291e-01
1.00000e+00 1.59898e+00 4.84850e-01
2.00000e+00 1.59898e+00 3.06759e-01
3.00000e+00 1.59898e+00 5.40730e-01
4.00000e+00 1.59898e+00 3.78200e-01
5.24398e+00 1.67093e+00 4.96823e-01
5.98276e+00 1.58408e+00 2.53642e-01
6.81953e+00 1.61466e+00 5.90259e-01
7.98674e+00 1.86021e+00 6.11014e-01
8.89970e+00 1.94272e+00 3.13233e-01
1.00732e+01 2.03721e+00 6.32263e-01
1.50000e+00 2.59903e+00 3.03722e-01
2.50000e+00 2.59903e+00 4.58522e-01
3.41681e+00 2.62083e+00 4.56213e-01
4.53364e+00 2.57686e+00 6.65174e-01
5.56136e+00 2.60118e+00 3.40155e-01
6.50000e+00 2.59903e+00 2.66207e-01
7.28911e+00 2.59996e+00 4.05845e-01
8.71967e+00 2.77162e+00 5.58722e-01
9.75357e+00 3.16284e+00 5.46789e-01
1.07205e+01 2.61462e+00 2.35280e-01
1.00000e+00 3.59903e+00 5.35578e-01
2.00000e+00 3.59903e+00 4.51293e-01
2.96986e+00 3.59902e+00 4.71856e-01
3.96812e+00 3.59278e+00 4.57513e-01
4.94706e+00 3.59903e+00 3.60493e-01
5.76736e+00 3.58925e+00 4.54904e-01
6.81146e+00 3.72356e+00 6.01748e-01
8.14682e+00 3.76000e+00 5.96246e-01
9.16528e+00 3.95671e+00 4.52824e-01
1.03291e+01 3.73798e+00 2.68164e-01
1.50000e+00 4.59903e+00 4.75879e-01
2.50000e+00 4.59903e+00 2.37212e-01
3.42836e+00 4.51521e+00 5.50189e-01
4.57106e+00 4.52281e+00 5.92512e-01
5.51063e+00 4.59903e+00 3.44590e-01
6.32898e+00 4.91790e+00 4.26074e-01
7.44130e+00 4.80562e+00 6.94379e-01
8.66337e+00 4.82064e+00 5.34943e-01
9.70139e+00 4.73591e+00 4.99880e-01
1.05000e+01 4.59903e+00 3.04731e-01
