# x y radius 
#  E:1.69e+06 E_potential:1.66e+06 E_contact:2.90e+04
6.99249e-01 2.03267e-01 2.03267e-01
1.28337e+00 4.26789e-01 4.26789e-01
3.12355e+00 3.84279e-01 3.84279e-01
4.59896e+00 3.90192e-01 3.90192e-01
5.25568e+00 2.88912e-01 2.88912e-01
6.23622e+00 3.14160e-01 3.14161e-01
6.98285e+00 4.55642e-01 4.55642e-01
8.04020e+00 6.24863e-01 6.24863e-01
9.15547e+00 5.15489e-01 5.15489e-01
1.03127e+01 6.87291e-01 6.87291e-01
4.84850e-01 8.42809e-01 4.84850e-01
1.60761e+00 1.06835e+00 3.06759e-01
2.23639e+00 5.40730e-01 5.40730e-01
3.85569e+00 3.78200e-01 3.78200e-01
5.17582e+00 1.04297e+00 4.96823e-01
5.72110e+00 5.27502e-01 2.53642e-01
6.23133e+00 1.18339e+00 5.90259e-01
7.32579e+00 1.58403e+00 6.11014e-01
8.75098e+00 1.20945e+00 3.13233e-01
9.54487e+00 1.69892e+00 6.32263e-01
1.09017e+00 1.32628e+00 3.03722e-01
2.19028e+00 1.53409e+00 4.58522e-01
2.99976e+00 1.17269e+00 4.56213e-01
4.08371e+00 1.37179e+00 6.65174e-01
4.96905e+00 1.84666e+00 3.40155e-01
5.55196e+00 1.68894e+00 2.66207e-01
6.48041e+00 2.13043e+00 4.05845e-01
8.40846e+00 1.98431e+00 5.58722e-01
1.02729e+01 2.61230e+00 5.46789e-01
1.07647e+01 1.46895e+00 2.35280e-01
5.35578e-01 1.92050e+00 5.35578e-01
1.49489e+00 2.09538e+00 4.51293e-01
2.34937e+00 2.44064e+00 4.71856e-01
3.18740e+00 2.04359e+00 4.57513e-01
4.45280e+00 2.31320e+00 3.60493e-01
5.66253e+00 2.38545e+00 4.54904e-01
6.45123e+00 3.12351e+00 6.01748e-01
7.57316e+00 2.74627e+00 5.96246e-01
9.13256e+00 2.68282e+00 4.52824e-01
1.07318e+01 1.95648e+00 2.68164e-01
9.46755e-01 2.83780e+00 4.75879e-01
2.70128e+00 3.05303e+00 2.37212e-01
3.48478e+00 2.99041e+00 5.50189e-01
4.59091e+00 3.24436e+00 5.92512e-01
5.51357e+00 3.16196e+00 3.44590e-01
5.76856e+00 3.88532e+00 4.26074e-01
7.39444e+00 4.00987e+00 6.94379e-01
8.48060e+00 3.41165e+00 5.34943e-01
9.67110e+00 3.46124e+00 4.99880e-01
1.06953e+01 3.34680e+00 3.04731e-01
