# x y radius 
#  E:1.67e+06 E_potential:1.63e+06 E_contact:3.25e+04
6.90617e-01 2.03267e-01 2.03267e-01
1.27576e+00 4.26789e-01 4.26789e-01
3.11041e+00 3.84279e-01 3.84279e-01
4.58085e+00 3.90192e-01 3.90192e-01
5.23993e+00 2.88912e-01 2.88912e-01
6.24481e+00 3.14160e-01 3.14161e-01
6.98919e+00 4.55642e-01 4.55642e-01
8.04419e+00 6.24863e-01 6.24863e-01
9.15508e+00 5.15489e-01 5.15489e-01
1.03127e+01 6.87291e-01 6.87291e-01
4.84850e-01 8.48128e-01 4.84850e-01
1.59880e+00 1.06922e+00 3.06759e-01
2.22584e+00 5.40730e-01 5.40730e-01
3.84006e+00 3.78200e-01 3.78200e-01
5.15250e+00 1.03790e+00 4.96823e-01
5.72020e+00 5.01488e-01 2.53642e-01
6.20187e+00 1.18238e+00 5.90259e-01
7.30038e+00 1.54477e+00 6.11014e-01
8.73866e+00 1.21349e+00 3.13233e-01
9.52408e+00 1.69593e+00 6.32263e-01
1.08666e+00 1.33640e+00 3.03722e-01
2.18213e+00 1.53517e+00 4.58522e-01
2.98770e+00 1.17269e+00 4.56213e-01
4.06747e+00 1.37187e+00 6.65174e-01
4.94698e+00 1.84140e+00 3.40155e-01
5.52390e+00 1.67802e+00 2.66207e-01
6.47619e+00 2.12998e+00 4.05845e-01
8.37307e+00 1.98651e+00 5.58722e-01
1.02593e+01 2.60294e+00 5.46789e-01
1.07647e+01 1.46919e+00 2.35280e-01
5.35578e-01 1.93275e+00 5.35578e-01
1.49020e+00 2.09483e+00 4.51293e-01
2.33896e+00 2.44453e+00 4.71856e-01
3.17347e+00 2.04522e+00 4.57513e-01
3.91564e+00 2.37419e+00 3.60493e-01
5.64914e+00 2.36233e+00 4.54904e-01
6.36180e+00 3.12530e+00 6.01748e-01
7.47776e+00 2.70521e+00 5.96246e-01
9.10624e+00 2.67680e+00 4.52824e-01
1.07318e+01 1.95689e+00 2.68164e-01
9.54905e-01 2.84653e+00 4.75879e-01
1.69921e+00 2.74869e+00 2.37212e-01
3.16356e+00 3.04235e+00 5.50189e-01
4.28591e+00 3.24159e+00 5.92512e-01
4.86633e+00 2.51274e+00 3.44590e-01
5.29801e+00 3.16134e+00 4.26074e-01
7.33856e+00 3.97177e+00 6.94379e-01
8.39750e+00 3.34953e+00 5.34943e-01
9.65359e+00 3.44904e+00 4.99880e-01
1.06953e+01 3.32932e+00 3.04731e-01
