# x y radius 
#  E:1.70e+06 E_potential:1.67e+06 E_contact:2.60e+04
6.93584e-01 2.03267e-01 2.03267e-01
1.27851e+00 4.26789e-01 4.26789e-01
3.11636e+00 3.84279e-01 3.84279e-01
4.59125e+00 3.90192e-01 3.90192e-01
5.24777e+00 2.88912e-01 2.88912e-01
6.22390e+00 3.14160e-01 3.14161e-01
6.96871e+00 4.55642e-01 4.55642e-01
8.01968e+00 6.24863e-01 6.24863e-01
9.14399e+00 5.15489e-01 5.15489e-01
1.03127e+01 6.87291e-01 6.87291e-01
4.84850e-01 8.46621e-01 4.84850e-01
1.60038e+00 1.06896e+00 3.06759e-01
2.23018e+00 5.40730e-01 5.40730e-01
3.84798e+00 3.78200e-01 3.78200e-01
5.16824e+00 1.04321e+00 4.96823e-01
5.71200e+00 5.29372e-01 2.53642e-01
6.22589e+00 1.18308e+00 5.90259e-01
7.31513e+00 1.62000e+00 6.11014e-01
8.72963e+00 1.20861e+00 3.13233e-01
9.52923e+00 1.68689e+00 6.32263e-01
1.08626e+00 1.33622e+00 3.03722e-01
2.18227e+00 1.53617e+00 4.58522e-01
2.99211e+00 1.17578e+00 4.56213e-01
4.07647e+00 1.36963e+00 6.65174e-01
4.96075e+00 1.84751e+00 3.40155e-01
5.54474e+00 1.68666e+00 2.66207e-01
6.44146e+00 2.13210e+00 4.05845e-01
8.40156e+00 1.99392e+00 5.58722e-01
1.02649e+01 2.59183e+00 5.46789e-01
1.07647e+01 1.46391e+00 2.35280e-01
5.35578e-01 1.93508e+00 5.35578e-01
1.49387e+00 2.10589e+00 4.51293e-01
2.34916e+00 2.44390e+00 4.71856e-01
3.18629e+00 2.04891e+00 4.57513e-01
4.43899e+00 2.31108e+00 3.60493e-01
5.62042e+00 2.38597e+00 4.54904e-01
6.59640e+00 3.10987e+00 6.01748e-01
7.77013e+00 2.93547e+00 5.96246e-01
9.13862e+00 2.68311e+00 4.52824e-01
1.07318e+01 1.94768e+00 2.68164e-01
9.49614e-01 2.85131e+00 4.75879e-01
2.83599e+00 2.95697e+00 2.37212e-01
3.62210e+00 2.94410e+00 5.50189e-01
4.72981e+00 3.20493e+00 5.92512e-01
5.65882e+00 3.17510e+00 3.44590e-01
5.93250e+00 3.88995e+00 4.26074e-01
7.42045e+00 4.17236e+00 6.94379e-01
8.70574e+00 3.56175e+00 5.34943e-01
9.73265e+00 3.48001e+00 4.99880e-01
1.06953e+01 3.32142e+00 3.04731e-01
