# x y radius 
#  E:1.79e+06 E_potential:1.74e+06 E_contact:4.62e+04
1.41954e+00 2.33027e-01 2.32990e-01
2.72424e+00 3.80582e-01 3.80218e-01
3.69059e+00 6.66039e-01 6.65128e-01
4.72388e+00 4.31815e-01 4.31887e-01
5.53793e+00 4.04240e-01 4.03819e-01
7.22729e+00 3.39021e-01 3.38241e-01
7.87265e+00 3.42278e-01 3.41989e-01
8.75399e+00 6.48440e-01 6.43623e-01
9.80550e+00 4.63213e-01 4.63184e-01
1.06104e+01 3.89105e-01 3.88986e-01
6.71271e-01 6.72023e-01 6.71199e-01
1.98863e+00 3.94927e-01 3.91586e-01
2.80242e+00 1.38715e+00 5.17664e-01
4.49398e+00 1.26349e+00 3.70764e-01
5.18699e+00 1.06969e+00 3.82737e-01
6.42106e+00 5.28767e-01 5.25718e-01
7.61286e+00 9.87810e-01 3.94094e-01
8.20126e+00 1.67648e+00 5.30428e-01
9.61919e+00 1.40800e+00 5.26545e-01
1.05412e+01 1.19355e+00 4.57867e-01
1.70739e+00 1.35000e+00 6.19692e-01
2.93810e+00 2.16708e+00 2.83282e-01
3.78531e+00 1.91206e+00 6.08212e-01
5.08398e+00 2.05833e+00 6.33911e-01
5.93258e+00 1.37416e+00 4.59874e-01
6.86985e+00 1.44373e+00 5.09639e-01
7.43896e+00 2.00327e+00 3.09351e-01
8.90121e+00 1.48331e+00 2.07912e-01
9.78446e+00 2.25272e+00 3.47997e-01
1.05577e+01 2.07042e+00 4.41607e-01
6.24571e-01 1.93886e+00 6.22815e-01
2.06793e+00 2.58169e+00 6.88169e-01
3.25856e+00 2.93618e+00 5.54866e-01
4.33202e+00 2.67666e+00 3.49066e-01
6.27323e+00 2.36800e+00 6.00572e-01
7.17232e+00 2.56918e+00 3.24071e-01
7.84812e+00 2.36990e+00 2.51765e-01
8.42293e+00 2.58421e+00 3.69479e-01
9.03244e+00 2.11172e+00 4.17631e-01
1.02414e+01 2.81941e+00 3.87796e-01
8.65824e-01 3.18163e+00 6.58928e-01
2.51896e+00 3.64337e+00 4.72142e-01
4.51343e+00 3.65627e+00 6.62709e-01
5.47287e+00 3.07050e+00 4.64746e-01
6.33688e+00 3.44996e+00 4.87337e-01
7.15855e+00 3.25472e+00 3.65321e-01
7.81525e+00 2.97255e+00 3.57996e-01
8.45477e+00 3.32303e+00 3.73733e-01
9.32842e+00 3.02479e+00 5.51890e-01
1.03931e+01 3.77821e+00 5.97682e-01
