# x y radius 
#  E:1.94e+06 E_potential:1.90e+06 E_contact:4.01e+04
1.34449e+00 4.98463e-01 4.98463e-01
2.30641e+00 5.00756e-01 5.00756e-01
3.03685e+00 2.95985e-01 2.95985e-01
3.90187e+00 6.99259e-01 6.99259e-01
6.19960e+00 3.61743e-01 3.61743e-01
7.04515e+00 5.32390e-01 5.32390e-01
8.14415e+00 6.07485e-01 6.07485e-01
9.01208e+00 3.29294e-01 3.29294e-01
9.85367e+00 5.71507e-01 5.71507e-01
1.06808e+01 3.19247e-01 3.19247e-01
4.45149e-01 4.45149e-01 4.45149e-01
1.55985e+00 1.44127e+00 4.92609e-01
2.94983e+00 7.86158e-01 2.03412e-01
3.10697e+00 1.65420e+00 5.85542e-01
5.23901e+00 6.85115e-01 6.85115e-01
6.29606e+00 1.22696e+00 5.14726e-01
7.43355e+00 1.52095e+00 5.60963e-01
9.03507e+00 1.07966e+00 4.21944e-01
9.65003e+00 1.30390e+00 2.10211e-01
1.04154e+01 1.51336e+00 5.84598e-01
5.48062e-01 1.40306e+00 5.48062e-01
2.22053e+00 1.96048e+00 3.67032e-01
2.32093e+00 1.28744e+00 3.01502e-01
4.32547e+00 1.81468e+00 5.41522e-01
5.44518e+00 1.92369e+00 6.00444e-01
6.68459e+00 1.94042e+00 3.07149e-01
7.33820e+00 2.49301e+00 4.21914e-01
8.39386e+00 1.57620e+00 4.02130e-01
9.35494e+00 2.08745e+00 6.47016e-01
1.04556e+01 2.61610e+00 5.44366e-01
1.00416e+00 2.17228e+00 3.65381e-01
1.63488e+00 2.19124e+00 2.67295e-01
2.73104e+00 2.75425e+00 5.88200e-01
3.66062e+00 2.44955e+00 3.97742e-01
4.78877e+00 2.36992e+00 2.04221e-01
4.99470e+00 3.19747e+00 6.71068e-01
6.30206e+00 2.84758e+00 6.87445e-01
8.00345e+00 2.17811e+00 3.27877e-01
8.53022e+00 2.37064e+00 2.50863e-01
9.23092e+00 3.35801e+00 6.46483e-01
1.38981e+00 2.68983e+00 2.94085e-01
1.77496e+00 3.55277e+00 6.64974e-01
2.81691e+00 3.63424e+00 2.99505e-01
3.71988e+00 3.45099e+00 6.22220e-01
4.46768e+00 4.06554e+00 3.48247e-01
5.86592e+00 3.87737e+00 4.37137e-01
7.25664e+00 3.73477e+00 6.27936e-01
8.12430e+00 3.00563e+00 5.17058e-01
8.41357e+00 3.70584e+00 2.42721e-01
1.04082e+01 3.73765e+00 5.91808e-01
