# x y radius 
#  E:1.86e+06 E_potential:1.85e+06 E_contact:1.41e+04
9.57333e-01 2.03267e-01 2.03267e-01
1.52638e+00 4.26789e-01 4.26789e-01
3.15614e+00 3.84279e-01 3.84279e-01
4.64963e+00 3.90192e-01 3.90192e-01
5.59334e+00 2.88912e-01 2.88912e-01
6.28268e+00 3.14160e-01 3.14161e-01
7.01660e+00 4.55642e-01 4.55642e-01
8.05490e+00 6.24863e-01 6.24863e-01
9.14933e+00 7.83390e-01 5.15489e-01
1.03127e+01 6.87291e-01 6.87291e-01
4.84850e-01 6.69471e-01 4.84850e-01
1.16237e+00 1.05642e+00 3.06759e-01
2.37488e+00 8.41784e-01 5.40730e-01
3.89859e+00 4.52149e-01 3.78200e-01
5.26802e+00 9.97102e-01 4.96823e-01
5.92544e+00 7.12251e-01 2.53642e-01
6.47098e+00 1.33206e+00 5.90259e-01
7.57703e+00 1.74394e+00 6.11014e-01
8.58999e+00 1.39218e+00 3.13233e-01
9.67587e+00 1.80198e+00 6.32263e-01
7.26184e-01 1.48309e+00 3.03722e-01
1.71037e+00 1.57680e+00 4.58522e-01
3.10937e+00 1.49751e+00 4.56213e-01
4.21582e+00 1.43949e+00 6.65174e-01
5.14386e+00 1.81877e+00 3.40155e-01
5.74633e+00 1.78220e+00 2.66207e-01
6.72166e+00 2.29095e+00 4.05845e-01
8.60080e+00 2.26396e+00 5.58722e-01
1.01374e+01 2.87238e+00 5.46789e-01
1.07647e+01 1.48887e+00 2.35280e-01
8.76976e-01 2.39912e+00 5.35578e-01
1.86150e+00 2.46692e+00 4.51293e-01
2.78091e+00 2.39834e+00 4.71856e-01
3.70832e+00 2.43500e+00 4.57513e-01
4.76071e+00 2.40389e+00 3.60493e-01
5.75173e+00 2.50252e+00 4.54904e-01
6.80191e+00 3.46772e+00 6.01748e-01
7.98801e+00 3.33755e+00 5.96246e-01
9.14864e+00 3.10636e+00 4.52824e-01
1.07318e+01 2.31614e+00 2.68164e-01
1.50000e+00 3.39912e+00 4.75879e-01
2.50000e+00 3.39912e+00 2.37212e-01
3.39092e+00 3.38780e+00 5.50189e-01
4.57104e+00 3.33521e+00 5.92512e-01
5.51063e+00 3.39912e+00 3.44590e-01
6.17527e+00 4.27403e+00 4.26074e-01
7.44581e+00 4.64899e+00 6.94379e-01
8.80596e+00 4.10693e+00 5.34943e-01
9.80714e+00 3.85790e+00 4.99880e-01
1.06953e+01 3.51056e+00 3.04731e-01
