# x y radius 
#  E:1.79e+06 E_potential:1.74e+06 E_contact:4.64e+04
1.42074e+00 2.33028e-01 2.32990e-01
2.72415e+00 3.80161e-01 3.80218e-01
3.68950e+00 6.66275e-01 6.65128e-01
4.72281e+00 4.32130e-01 4.31887e-01
5.53729e+00 4.04511e-01 4.03819e-01
7.22731e+00 3.39819e-01 3.38241e-01
7.87296e+00 3.42647e-01 3.41989e-01
8.75375e+00 6.49973e-01 6.43623e-01
9.80555e+00 4.63587e-01 4.63184e-01
1.06109e+01 3.89427e-01 3.88986e-01
6.72625e-01 6.71340e-01 6.71199e-01
1.98933e+00 3.94436e-01 3.91586e-01
2.80287e+00 1.39003e+00 5.17664e-01
4.49310e+00 1.26309e+00 3.70764e-01
5.18637e+00 1.06961e+00 3.82737e-01
6.42085e+00 5.29354e-01 5.25718e-01
7.61095e+00 9.87094e-01 3.94094e-01
8.19883e+00 1.67578e+00 5.30428e-01
9.61914e+00 1.40830e+00 5.26545e-01
1.05421e+01 1.19368e+00 4.57867e-01
1.70872e+00 1.34869e+00 6.19692e-01
2.93907e+00 2.16932e+00 2.83282e-01
3.78578e+00 1.91320e+00 6.08212e-01
5.08360e+00 2.05765e+00 6.33911e-01
5.93221e+00 1.37422e+00 4.59874e-01
6.86947e+00 1.44482e+00 5.09639e-01
7.43758e+00 2.00558e+00 3.09351e-01
8.90042e+00 1.48536e+00 2.07912e-01
9.78084e+00 2.25311e+00 3.47997e-01
1.05550e+01 2.07035e+00 4.41607e-01
6.27810e-01 1.93917e+00 6.22815e-01
2.06787e+00 2.58113e+00 6.88169e-01
3.25884e+00 2.93799e+00 5.54866e-01
4.33271e+00 2.67646e+00 3.49066e-01
6.27242e+00 2.36838e+00 6.00572e-01
7.17105e+00 2.57161e+00 3.24071e-01
7.84871e+00 2.37004e+00 2.51765e-01
8.42280e+00 2.58692e+00 3.69479e-01
9.02959e+00 2.11039e+00 4.17631e-01
1.02372e+01 2.81952e+00 3.87796e-01
8.66405e-01 3.18293e+00 6.58928e-01
2.51748e+00 3.64339e+00 4.72142e-01
4.51231e+00 3.65534e+00 6.62709e-01
5.47199e+00 3.07031e+00 4.64746e-01
6.33576e+00 3.45037e+00 4.87337e-01
7.15783e+00 3.25720e+00 3.65321e-01
7.81317e+00 2.97212e+00 3.57996e-01
8.45089e+00 3.32604e+00 3.73733e-01
9.32348e+00 3.02425e+00 5.51890e-01
1.04013e+01 3.77679e+00 5.97682e-01
