# x y radius 
#  E:1.74e+06 E_potential:1.72e+06 E_contact:2.23e+04
7.28514e-01 2.03267e-01 2.03267e-01
1.30659e+00 4.26789e-01 4.26789e-01
3.13969e+00 3.84279e-01 3.84279e-01
4.62667e+00 3.90192e-01 3.90192e-01
5.28709e+00 2.88912e-01 2.88912e-01
6.25318e+00 3.14160e-01 3.14161e-01
6.99385e+00 4.55642e-01 4.55642e-01
8.03828e+00 6.24863e-01 6.24863e-01
9.14971e+00 5.15489e-01 5.15489e-01
1.03127e+01 6.87291e-01 6.87291e-01
4.84850e-01 8.18744e-01 4.84850e-01
1.20116e+00 1.13924e+00 3.06759e-01
2.25462e+00 5.40730e-01 5.40730e-01
3.87492e+00 3.78200e-01 3.78200e-01
5.21032e+00 1.04664e+00 4.96823e-01
5.75103e+00 5.39772e-01 2.53642e-01
6.26773e+00 1.19806e+00 5.90259e-01
7.35593e+00 1.63266e+00 6.11014e-01
8.74084e+00 1.22763e+00 3.13233e-01
9.54585e+00 1.70559e+00 6.32263e-01
7.59820e-01 1.54578e+00 3.03722e-01
1.89333e+00 1.43411e+00 4.58522e-01
3.00320e+00 1.20463e+00 4.56213e-01
4.11590e+00 1.34794e+00 6.65174e-01
4.99758e+00 1.84832e+00 3.40155e-01
5.58296e+00 1.69884e+00 2.66207e-01
6.49512e+00 2.16305e+00 4.05845e-01
8.42793e+00 2.03451e+00 5.58722e-01
1.02900e+01 2.60306e+00 5.46789e-01
1.07647e+01 1.46142e+00 2.35280e-01
5.35578e-01 2.34019e+00 5.35578e-01
1.49677e+00 2.23113e+00 4.51293e-01
2.40606e+00 2.19494e+00 4.71856e-01
3.30872e+00 2.08894e+00 4.57513e-01
4.46509e+00 2.29568e+00 3.60493e-01
5.67247e+00 2.40239e+00 4.54904e-01
6.79016e+00 3.30438e+00 6.01748e-01
7.95826e+00 3.07911e+00 5.96246e-01
9.17326e+00 2.71664e+00 4.52824e-01
1.07318e+01 1.94335e+00 2.68164e-01
1.19694e+00 3.10050e+00 4.75879e-01
2.50000e+00 2.89915e+00 2.37212e-01
3.37944e+00 3.08475e+00 5.50189e-01
4.56986e+00 3.22970e+00 5.92512e-01
5.50452e+00 3.17896e+00 3.44590e-01
6.00172e+00 3.95276e+00 4.26074e-01
7.44581e+00 4.52617e+00 6.94379e-01
8.86664e+00 3.73716e+00 5.34943e-01
9.87823e+00 3.55135e+00 4.99880e-01
1.06953e+01 3.34714e+00 3.04731e-01
