# x y radius 
#  E:1.71e+06 E_potential:1.68e+06 E_contact:2.46e+04
6.80314e-01 2.03267e-01 2.03267e-01
1.26725e+00 4.26789e-01 4.26789e-01
3.10291e+00 3.84279e-01 3.84279e-01
4.58045e+00 3.90192e-01 3.90192e-01
5.23794e+00 2.88912e-01 2.88912e-01
6.21746e+00 3.14160e-01 3.14161e-01
6.96224e+00 4.55642e-01 4.55642e-01
8.01361e+00 6.24863e-01 6.24863e-01
9.14046e+00 5.15489e-01 5.15489e-01
1.03127e+01 6.87291e-01 6.87291e-01
4.84850e-01 8.56176e-01 4.84850e-01
1.58021e+00 1.07247e+00 3.06759e-01
2.21613e+00 5.40730e-01 5.40730e-01
3.83527e+00 3.78200e-01 3.78200e-01
5.16171e+00 1.04145e+00 4.96823e-01
5.70457e+00 5.27036e-01 2.53642e-01
6.21819e+00 1.18229e+00 5.90259e-01
7.30674e+00 1.61782e+00 6.11014e-01
8.72031e+00 1.20759e+00 3.13233e-01
9.51932e+00 1.68057e+00 6.32263e-01
1.07282e+00 1.36670e+00 3.03722e-01
2.16811e+00 1.53531e+00 4.58522e-01
2.98070e+00 1.17652e+00 4.56213e-01
4.07051e+00 1.36397e+00 6.65174e-01
4.95459e+00 1.84455e+00 3.40155e-01
5.53802e+00 1.68576e+00 2.66207e-01
6.43493e+00 2.13199e+00 4.05845e-01
8.39103e+00 1.99410e+00 5.58722e-01
1.02522e+01 2.58590e+00 5.46789e-01
1.07647e+01 1.46521e+00 2.35280e-01
5.35578e-01 1.98491e+00 5.35578e-01
1.49598e+00 2.12424e+00 4.51293e-01
2.35622e+00 2.44058e+00 4.71856e-01
3.19015e+00 2.04641e+00 4.57513e-01
4.43346e+00 2.30575e+00 3.60493e-01
5.61551e+00 2.38513e+00 4.54904e-01
6.65951e+00 3.09700e+00 6.01748e-01
7.84257e+00 2.99039e+00 5.96246e-01
9.13155e+00 2.67809e+00 4.52824e-01
1.07318e+01 1.94995e+00 2.68164e-01
9.78387e-01 2.88891e+00 4.75879e-01
2.69836e+00 3.05914e+00 2.37212e-01
3.48227e+00 2.99725e+00 5.50189e-01
4.59738e+00 3.23103e+00 5.92512e-01
5.52830e+00 3.16977e+00 3.44590e-01
5.93339e+00 3.81867e+00 4.26074e-01
7.44581e+00 4.29105e+00 6.94379e-01
8.79134e+00 3.59638e+00 5.34943e-01
9.81990e+00 3.52710e+00 4.99880e-01
1.06953e+01 3.30787e+00 3.04731e-01
