# x y radius 
#  E:1.75e+06 E_potential:1.73e+06 E_contact:2.22e+04
7.77466e-01 2.03267e-01 2.03267e-01
1.34888e+00 4.26789e-01 4.26789e-01
3.17166e+00 3.84279e-01 3.84279e-01
4.65141e+00 3.90192e-01 3.90192e-01
5.30956e+00 2.88912e-01 2.88912e-01
6.26231e+00 3.14160e-01 3.14161e-01
7.00161e+00 4.55642e-01 4.55642e-01
8.04282e+00 6.24863e-01 6.24863e-01
9.15102e+00 5.15489e-01 5.15489e-01
1.03127e+01 6.87291e-01 6.87291e-01
4.84850e-01 7.88239e-01 4.84850e-01
1.18638e+00 1.12858e+00 3.06759e-01
2.29085e+00 5.40730e-01 5.40730e-01
3.90410e+00 3.78200e-01 3.78200e-01
5.22372e+00 1.05178e+00 4.96823e-01
5.76605e+00 5.48519e-01 2.53642e-01
6.28454e+00 1.20258e+00 5.90259e-01
7.37538e+00 1.64109e+00 6.11014e-01
8.73936e+00 1.23362e+00 3.13233e-01
9.54522e+00 1.70709e+00 6.32263e-01
7.33953e-01 1.52168e+00 3.03722e-01
1.87843e+00 1.41227e+00 4.58522e-01
3.01427e+00 1.21919e+00 4.56213e-01
4.12479e+00 1.35557e+00 6.65174e-01
5.01554e+00 1.85467e+00 3.40155e-01
5.59965e+00 1.70229e+00 2.66207e-01
6.51278e+00 2.16746e+00 4.05845e-01
8.43757e+00 2.07635e+00 5.58722e-01
1.02904e+01 2.60467e+00 5.46789e-01
1.07647e+01 1.46204e+00 2.35280e-01
5.35578e-01 2.32032e+00 5.35578e-01
1.50573e+00 2.22226e+00 4.51293e-01
2.41934e+00 2.15120e+00 4.71856e-01
3.33279e+00 2.12122e+00 4.57513e-01
4.48209e+00 2.30002e+00 3.60493e-01
5.69039e+00 2.40575e+00 4.54904e-01
6.79559e+00 3.33911e+00 6.01748e-01
7.96822e+00 3.12782e+00 5.96246e-01
9.20909e+00 2.73043e+00 4.52824e-01
1.07318e+01 1.94438e+00 2.68164e-01
1.19030e+00 3.08593e+00 4.75879e-01
2.50000e+00 2.99915e+00 2.37212e-01
3.37433e+00 3.11956e+00 5.50189e-01
4.56792e+00 3.23562e+00 5.92512e-01
5.50201e+00 3.17754e+00 3.44590e-01
6.04440e+00 4.03058e+00 4.26074e-01
7.44581e+00 4.55351e+00 6.94379e-01
8.86165e+00 3.80716e+00 5.34943e-01
9.85497e+00 3.54202e+00 4.99880e-01
1.06953e+01 3.34914e+00 3.04731e-01
