# x y radius 
#  E:1.79e+06 E_potential:1.74e+06 E_contact:4.72e+04
1.42132e+00 2.33042e-01 2.32990e-01
2.72583e+00 3.80946e-01 3.80218e-01
3.69091e+00 6.66495e-01 6.65128e-01
4.72347e+00 4.32282e-01 4.31887e-01
5.53727e+00 4.04040e-01 4.03819e-01
7.22700e+00 3.40452e-01 3.38241e-01
7.87230e+00 3.41863e-01 3.41989e-01
8.75404e+00 6.46527e-01 6.43623e-01
9.80591e+00 4.63672e-01 4.63184e-01
1.06108e+01 3.89443e-01 3.88986e-01
6.72492e-01 6.72559e-01 6.71199e-01
1.99080e+00 3.95052e-01 3.91586e-01
2.80374e+00 1.38924e+00 5.17664e-01
4.49363e+00 1.26397e+00 3.70764e-01
5.18657e+00 1.06911e+00 3.82737e-01
6.42035e+00 5.27575e-01 5.25718e-01
7.61264e+00 9.87549e-01 3.94094e-01
8.20168e+00 1.67538e+00 5.30428e-01
9.61867e+00 1.40765e+00 5.26545e-01
1.05406e+01 1.19269e+00 4.57867e-01
1.70972e+00 1.34779e+00 6.19692e-01
2.93904e+00 2.16874e+00 2.83282e-01
3.78596e+00 1.91361e+00 6.08212e-01
5.08444e+00 2.05748e+00 6.33911e-01
5.93215e+00 1.37274e+00 4.59874e-01
6.86920e+00 1.44230e+00 5.09639e-01
7.43903e+00 2.00061e+00 3.09351e-01
8.90095e+00 1.48152e+00 2.07912e-01
9.78402e+00 2.25280e+00 3.47997e-01
1.05513e+01 2.06844e+00 4.41607e-01
6.29922e-01 1.93911e+00 6.22815e-01
2.06753e+00 2.57974e+00 6.88169e-01
3.25769e+00 2.93792e+00 5.54866e-01
4.33360e+00 2.67633e+00 3.49066e-01
6.27312e+00 2.36673e+00 6.00572e-01
7.17250e+00 2.56623e+00 3.24071e-01
7.84731e+00 2.36828e+00 2.51765e-01
8.42195e+00 2.58281e+00 3.69479e-01
9.03231e+00 2.11178e+00 4.17631e-01
1.02416e+01 2.82001e+00 3.87796e-01
8.66431e-01 3.18158e+00 6.58928e-01
2.51553e+00 3.64246e+00 4.72142e-01
4.51300e+00 3.65525e+00 6.62709e-01
5.47263e+00 3.06954e+00 4.64746e-01
6.33659e+00 3.44856e+00 4.87337e-01
7.15751e+00 3.25155e+00 3.65321e-01
7.81478e+00 2.97097e+00 3.57996e-01
8.45426e+00 3.32168e+00 3.73733e-01
9.32861e+00 3.02494e+00 5.51890e-01
1.03862e+01 3.78068e+00 5.97682e-01
