# x y radius 
#  E:2.05e+06 E_potential:2.04e+06 E_contact:6.16e+03
1.25948e+00 2.03267e-01 2.03267e-01
1.84832e+00 4.26789e-01 4.26789e-01
3.37332e+00 3.84279e-01 3.84279e-01
4.54504e+00 3.90192e-01 3.90192e-01
5.50000e+00 2.88912e-01 2.88912e-01
6.32446e+00 3.14160e-01 3.14161e-01
7.07585e+00 4.55642e-01 4.55642e-01
8.12048e+00 6.24863e-01 6.24863e-01
9.18341e+00 9.52555e-01 5.15489e-01
1.03127e+01 6.87291e-01 6.87291e-01
6.10885e-01 8.98358e-01 4.84850e-01
1.39524e+00 9.99901e-01 3.06759e-01
2.65295e+00 9.58501e-01 5.40730e-01
3.95040e+00 8.76695e-01 3.78200e-01
5.39627e+00 1.11320e+00 4.96823e-01
6.07237e+00 8.10459e-01 2.53642e-01
6.67296e+00 1.39577e+00 5.90259e-01
7.79212e+00 1.80292e+00 6.11014e-01
8.68037e+00 1.59025e+00 3.13233e-01
9.83467e+00 1.89117e+00 6.32263e-01
1.50000e+00 1.89907e+00 3.03722e-01
2.31759e+00 1.89969e+00 4.58522e-01
3.34888e+00 1.93650e+00 4.56213e-01
4.45699e+00 1.78210e+00 6.65174e-01
5.44638e+00 1.94767e+00 3.40155e-01
6.04958e+00 1.97820e+00 2.66207e-01
6.93731e+00 2.35022e+00 4.05845e-01
8.76164e+00 2.44873e+00 5.58722e-01
9.93971e+00 3.04833e+00 5.46789e-01
1.07647e+01 1.99048e+00 2.35280e-01
1.00000e+00 2.89908e+00 5.35578e-01
2.00000e+00 2.89908e+00 4.51293e-01
2.94616e+00 2.89907e+00 4.71856e-01
3.96812e+00 2.88701e+00 4.57513e-01
4.94526e+00 2.89908e+00 3.60493e-01
5.76100e+00 2.90821e+00 4.54904e-01
6.81028e+00 3.59748e+00 6.01748e-01
8.01515e+00 3.55566e+00 5.96246e-01
9.05672e+00 3.49605e+00 4.52824e-01
1.07318e+01 2.89329e+00 2.68164e-01
1.50000e+00 3.89908e+00 4.75879e-01
2.50000e+00 3.89908e+00 2.37212e-01
3.42836e+00 3.80191e+00 5.50189e-01
4.57106e+00 3.83262e+00 5.92512e-01
5.51063e+00 3.89908e+00 3.44590e-01
6.27915e+00 4.47013e+00 4.26074e-01
7.44581e+00 4.73997e+00 6.94379e-01
8.71279e+00 4.43711e+00 5.34943e-01
9.85476e+00 4.08366e+00 4.99880e-01
1.06569e+01 3.89899e+00 3.04731e-01
