# x y radius 
#  E:1.68e+06 E_potential:1.65e+06 E_contact:3.15e+04
6.88087e-01 2.03267e-01 2.03267e-01
1.27360e+00 4.26789e-01 4.26789e-01
3.10796e+00 3.84279e-01 3.84279e-01
4.57964e+00 3.90192e-01 3.90192e-01
5.23860e+00 2.88912e-01 2.88912e-01
6.24560e+00 3.14160e-01 3.14161e-01
6.98999e+00 4.55642e-01 4.55642e-01
8.04494e+00 6.24863e-01 6.24863e-01
9.15611e+00 5.15489e-01 5.15489e-01
1.03127e+01 6.87291e-01 6.87291e-01
4.84850e-01 8.49710e-01 4.84850e-01
1.59500e+00 1.06845e+00 3.06759e-01
2.22341e+00 5.40730e-01 5.40730e-01
3.83772e+00 3.78200e-01 3.78200e-01
5.15209e+00 1.03892e+00 4.96823e-01
5.72029e+00 4.99255e-01 2.53642e-01
6.20276e+00 1.17982e+00 5.90259e-01
7.30180e+00 1.54821e+00 6.11014e-01
8.74257e+00 1.21226e+00 3.13233e-01
9.52783e+00 1.69829e+00 6.32263e-01
1.08504e+00 1.34038e+00 3.03722e-01
2.17502e+00 1.53690e+00 4.58522e-01
2.98360e+00 1.17584e+00 4.56213e-01
4.06630e+00 1.36875e+00 6.65174e-01
4.94852e+00 1.84476e+00 3.40155e-01
5.52548e+00 1.67785e+00 2.66207e-01
6.47310e+00 2.12513e+00 4.05845e-01
8.37706e+00 1.98289e+00 5.58722e-01
1.02632e+01 2.60544e+00 5.46789e-01
1.07647e+01 1.46903e+00 2.35280e-01
5.35578e-01 1.93835e+00 5.35578e-01
1.49183e+00 2.11201e+00 4.51293e-01
2.34797e+00 2.44382e+00 4.71856e-01
3.18267e+00 2.04784e+00 4.57513e-01
4.43324e+00 2.31072e+00 3.60493e-01
5.64731e+00 2.36304e+00 4.54904e-01
6.37350e+00 3.11819e+00 6.01748e-01
7.49219e+00 2.70941e+00 5.96246e-01
9.10541e+00 2.67781e+00 4.52824e-01
1.07318e+01 1.95661e+00 2.68164e-01
9.45746e-01 2.85604e+00 4.75879e-01
2.60668e+00 3.10148e+00 2.37212e-01
3.38903e+00 3.02052e+00 5.50189e-01
4.50466e+00 3.24844e+00 5.92512e-01
5.42771e+00 3.12042e+00 3.44590e-01
5.65673e+00 3.85068e+00 4.26074e-01
7.34200e+00 3.97509e+00 6.94379e-01
8.40681e+00 3.36177e+00 5.34943e-01
9.65418e+00 3.44908e+00 4.99880e-01
1.06953e+01 3.33423e+00 3.04731e-01
