# x y radius 
#  E:1.69e+06 E_potential:1.66e+06 E_contact:3.02e+04
6.97114e-01 2.03267e-01 2.03267e-01
1.28151e+00 4.26789e-01 4.26789e-01
3.12096e+00 3.84279e-01 3.84279e-01
4.59570e+00 3.90192e-01 3.90192e-01
5.25190e+00 2.88912e-01 2.88912e-01
6.22928e+00 3.14160e-01 3.14161e-01
6.97510e+00 4.55642e-01 4.55642e-01
8.02856e+00 6.24863e-01 6.24863e-01
9.15216e+00 5.15489e-01 5.15489e-01
1.03127e+01 6.87291e-01 6.87291e-01
4.84850e-01 8.44149e-01 4.84850e-01
1.60588e+00 1.06895e+00 3.06759e-01
2.23358e+00 5.40730e-01 5.40730e-01
3.85289e+00 3.78200e-01 3.78200e-01
5.17149e+00 1.04390e+00 4.96823e-01
5.71601e+00 5.29031e-01 2.53642e-01
6.22904e+00 1.18258e+00 5.90259e-01
7.31857e+00 1.61499e+00 6.11014e-01
8.75040e+00 1.19941e+00 3.13233e-01
9.54493e+00 1.69422e+00 6.32263e-01
1.08946e+00 1.32857e+00 3.03722e-01
2.18898e+00 1.53511e+00 4.58522e-01
2.99652e+00 1.17043e+00 4.56213e-01
4.07886e+00 1.37337e+00 6.65174e-01
4.96493e+00 1.84803e+00 3.40155e-01
5.54898e+00 1.68842e+00 2.66207e-01
6.44923e+00 2.13100e+00 4.05845e-01
8.41076e+00 1.96512e+00 5.58722e-01
1.02691e+01 2.61021e+00 5.46789e-01
1.07647e+01 1.46919e+00 2.35280e-01
5.35578e-01 1.92311e+00 5.35578e-01
1.49281e+00 2.09440e+00 4.51293e-01
2.34297e+00 2.44397e+00 4.71856e-01
3.17652e+00 2.04016e+00 4.57513e-01
4.44686e+00 2.31482e+00 3.60493e-01
5.62993e+00 2.38862e+00 4.54904e-01
6.54670e+00 3.11597e+00 6.01748e-01
7.68778e+00 2.82152e+00 5.96246e-01
9.12177e+00 2.67370e+00 4.52824e-01
1.07318e+01 1.95690e+00 2.68164e-01
9.48513e-01 2.83972e+00 4.75879e-01
2.81595e+00 2.96781e+00 2.37212e-01
3.60044e+00 2.93517e+00 5.50189e-01
4.69461e+00 3.22341e+00 5.92512e-01
5.61582e+00 3.17960e+00 3.44590e-01
5.88568e+00 3.89710e+00 4.26074e-01
7.41572e+00 4.07302e+00 6.94379e-01
8.59209e+00 3.49531e+00 5.34943e-01
9.65860e+00 3.45303e+00 4.99880e-01
1.06953e+01 3.34238e+00 3.04731e-01
