# x y radius 
#  E:1.67e+06 E_potential:1.64e+06 E_contact:3.11e+04
6.88049e-01 2.03267e-01 2.03267e-01
1.27346e+00 4.26789e-01 4.26789e-01
3.10639e+00 3.84279e-01 3.84279e-01
4.57866e+00 3.90192e-01 3.90192e-01
5.23815e+00 2.88912e-01 2.88912e-01
6.24142e+00 3.14160e-01 3.14161e-01
6.98652e+00 4.55642e-01 4.55642e-01
8.04201e+00 6.24863e-01 6.24863e-01
9.15436e+00 5.15489e-01 5.15489e-01
1.03127e+01 6.87291e-01 6.87291e-01
4.84850e-01 8.49529e-01 4.84850e-01
1.59434e+00 1.06812e+00 3.06759e-01
2.22336e+00 5.40730e-01 5.40730e-01
3.83550e+00 3.78200e-01 3.78200e-01
5.15601e+00 1.03708e+00 4.96823e-01
5.71758e+00 5.04884e-01 2.53642e-01
6.20369e+00 1.18307e+00 5.90259e-01
7.30126e+00 1.55057e+00 6.11014e-01
8.73868e+00 1.21277e+00 3.13233e-01
9.52536e+00 1.69573e+00 6.32263e-01
1.08465e+00 1.34057e+00 3.03722e-01
2.17345e+00 1.53701e+00 4.58522e-01
2.98377e+00 1.17861e+00 4.56213e-01
4.06980e+00 1.35918e+00 6.65174e-01
4.94496e+00 1.84015e+00 3.40155e-01
5.52479e+00 1.68159e+00 2.66207e-01
6.47252e+00 2.13105e+00 4.05845e-01
8.37611e+00 1.98629e+00 5.58722e-01
1.02598e+01 2.60341e+00 5.46789e-01
1.07647e+01 1.46921e+00 2.35280e-01
5.35578e-01 1.93904e+00 5.35578e-01
1.49442e+00 2.11825e+00 4.51293e-01
2.35723e+00 2.44146e+00 4.71856e-01
3.19666e+00 2.05045e+00 4.57513e-01
4.16227e+00 2.36184e+00 3.60493e-01
5.64627e+00 2.37034e+00 4.54904e-01
6.37072e+00 3.12691e+00 6.01748e-01
7.48803e+00 2.71090e+00 5.96246e-01
9.10875e+00 2.67733e+00 4.52824e-01
1.07318e+01 1.95693e+00 2.68164e-01
9.42655e-01 2.85797e+00 4.75879e-01
1.88100e+00 2.96620e+00 2.37212e-01
3.18046e+00 3.04628e+00 5.50189e-01
4.30054e+00 3.29183e+00 5.92512e-01
4.85072e+00 2.51248e+00 3.44590e-01
5.32294e+00 3.18258e+00 4.26074e-01
7.34541e+00 3.97715e+00 6.94379e-01
8.40666e+00 3.35746e+00 5.34943e-01
9.65524e+00 3.45028e+00 4.99880e-01
1.06953e+01 3.33010e+00 3.04731e-01
