# x y radius 
#  E:2.87e+06 E_potential:2.59e+06 E_contact:2.78e+05
1.50000e+00 8.99001e-01 2.03267e-01
2.50000e+00 8.99001e-01 4.26789e-01
3.50000e+00 8.99001e-01 3.84279e-01
4.50000e+00 8.99001e-01 3.90192e-01
5.50000e+00 8.99001e-01 2.88912e-01
6.50000e+00 8.99001e-01 3.14161e-01
7.39791e+00 8.98655e-01 4.55642e-01
8.39528e+00 8.99298e-01 6.24863e-01
9.40590e+00 9.80208e-01 5.15489e-01
1.03127e+01 9.11357e-01 6.87291e-01
1.00000e+00 1.89900e+00 4.84850e-01
2.00000e+00 1.89900e+00 3.06759e-01
3.00000e+00 1.89900e+00 5.40730e-01
4.00000e+00 1.89900e+00 3.78200e-01
5.07143e+00 1.91679e+00 4.96823e-01
6.00000e+00 1.89900e+00 2.53642e-01
6.91959e+00 1.89539e+00 5.90259e-01
8.05343e+00 1.98640e+00 6.11014e-01
8.99199e+00 1.89899e+00 3.13233e-01
9.92684e+00 2.06333e+00 6.32263e-01
1.50000e+00 2.89901e+00 3.03722e-01
2.50000e+00 2.89901e+00 4.58522e-01
3.44046e+00 2.90135e+00 4.56213e-01
4.55661e+00 2.94548e+00 6.65174e-01
5.56088e+00 2.89927e+00 3.40155e-01
6.50000e+00 2.89901e+00 2.66207e-01
7.50000e+00 2.89901e+00 4.05845e-01
8.53457e+00 2.94182e+00 5.58722e-01
9.57778e+00 3.10454e+00 5.46789e-01
1.05000e+01 2.89901e+00 2.35280e-01
1.00000e+00 3.89901e+00 5.35578e-01
2.00000e+00 3.89901e+00 4.51293e-01
3.00000e+00 3.89901e+00 4.71856e-01
3.96813e+00 3.90340e+00 4.57513e-01
5.00000e+00 3.89901e+00 3.60493e-01
5.90235e+00 3.89874e+00 4.54904e-01
6.91533e+00 3.90291e+00 6.01748e-01
8.08100e+00 3.92029e+00 5.96246e-01
9.09189e+00 3.95705e+00 4.52824e-01
1.00000e+01 3.89901e+00 2.68164e-01
1.50000e+00 4.89901e+00 4.75879e-01
2.50000e+00 4.89901e+00 2.37212e-01
3.43357e+00 4.84047e+00 5.50189e-01
4.56590e+00 4.80749e+00 5.92512e-01
5.50000e+00 4.89901e+00 3.44590e-01
6.40853e+00 5.07393e+00 4.26074e-01
7.43633e+00 4.80562e+00 6.94379e-01
8.57821e+00 4.96506e+00 5.34943e-01
9.59243e+00 4.89444e+00 4.99880e-01
1.05000e+01 4.89901e+00 3.04731e-01
