# x y radius 
#  E:1.73e+06 E_potential:1.70e+06 E_contact:2.45e+04
6.86771e-01 2.03267e-01 2.03267e-01
1.27283e+00 4.26789e-01 4.26789e-01
3.10277e+00 3.84279e-01 3.84279e-01
4.59330e+00 3.90192e-01 3.90192e-01
5.25581e+00 2.88912e-01 2.88912e-01
6.23487e+00 3.14160e-01 3.14161e-01
6.97694e+00 4.55642e-01 4.55642e-01
8.02629e+00 6.24863e-01 6.24863e-01
9.14697e+00 5.15489e-01 5.15489e-01
1.03127e+01 6.87291e-01 6.87291e-01
4.84850e-01 8.51883e-01 4.84850e-01
1.24878e+00 1.14840e+00 3.06759e-01
2.21597e+00 5.40730e-01 5.40730e-01
3.83913e+00 3.78200e-01 3.78200e-01
5.18596e+00 1.03947e+00 4.96823e-01
5.72676e+00 5.30580e-01 2.53642e-01
6.24094e+00 1.19311e+00 5.90259e-01
7.32940e+00 1.62266e+00 6.11014e-01
8.73407e+00 1.21261e+00 3.13233e-01
9.53454e+00 1.69039e+00 6.32263e-01
8.10788e-01 1.56235e+00 3.03722e-01
1.93968e+00 1.46435e+00 4.58522e-01
2.95706e+00 1.20079e+00 4.56213e-01
4.09648e+00 1.34138e+00 6.65174e-01
4.96922e+00 1.84012e+00 3.40155e-01
5.55430e+00 1.68855e+00 2.66207e-01
6.47222e+00 2.15737e+00 4.05845e-01
8.40894e+00 2.00212e+00 5.58722e-01
1.02667e+01 2.59719e+00 5.46789e-01
1.07647e+01 1.46527e+00 2.35280e-01
5.35578e-01 2.34601e+00 5.35578e-01
1.48691e+00 2.23006e+00 4.51293e-01
2.38941e+00 2.26674e+00 4.71856e-01
3.26896e+00 2.05317e+00 4.57513e-01
4.43934e+00 2.29100e+00 3.60493e-01
5.64737e+00 2.38640e+00 4.54904e-01
6.73741e+00 3.19892e+00 6.01748e-01
7.91446e+00 3.02598e+00 5.96246e-01
9.14717e+00 2.68791e+00 4.52824e-01
1.07318e+01 1.95006e+00 2.68164e-01
1.19958e+00 3.10517e+00 4.75879e-01
2.66205e+00 2.91721e+00 2.37212e-01
3.43926e+00 3.03389e+00 5.50189e-01
4.56263e+00 3.22271e+00 5.92512e-01
5.49238e+00 3.16029e+00 3.44590e-01
5.90933e+00 3.80136e+00 4.26074e-01
7.44581e+00 4.43512e+00 6.94379e-01
8.86812e+00 3.62617e+00 5.34943e-01
9.89793e+00 3.56539e+00 4.99880e-01
1.06953e+01 3.32818e+00 3.04731e-01
