# x y radius 
#  E:2.29e+06 E_potential:2.29e+06 E_contact:3.82e+03
1.50000e+00 3.99008e-01 2.03267e-01
2.50000e+00 4.26789e-01 4.26789e-01
3.50000e+00 3.99008e-01 3.84279e-01
4.50000e+00 3.99008e-01 3.90192e-01
5.50000e+00 3.99008e-01 2.88912e-01
6.41519e+00 3.99006e-01 3.14161e-01
7.18370e+00 4.55642e-01 4.55642e-01
8.24101e+00 6.24863e-01 6.24863e-01
9.23759e+00 1.14454e+00 5.15489e-01
1.03127e+01 6.87291e-01 6.87291e-01
1.00000e+00 1.39897e+00 4.84850e-01
2.00000e+00 1.39897e+00 3.06759e-01
3.00000e+00 1.39897e+00 5.40730e-01
4.00000e+00 1.39897e+00 3.78200e-01
5.26476e+00 1.49534e+00 4.96823e-01
5.98935e+00 1.32043e+00 2.53642e-01
6.81920e+00 1.44366e+00 5.90259e-01
7.95869e+00 1.81294e+00 6.11014e-01
8.87601e+00 1.87108e+00 3.13233e-01
1.00707e+01 1.95622e+00 6.32263e-01
1.50000e+00 2.39904e+00 3.03722e-01
2.46000e+00 2.39904e+00 4.58522e-01
3.38773e+00 2.42870e+00 4.56213e-01
4.50411e+00 2.36221e+00 6.65174e-01
5.56136e+00 2.40167e+00 3.40155e-01
6.45345e+00 2.39904e+00 2.66207e-01
7.12771e+00 2.39997e+00 4.05845e-01
8.71574e+00 2.71506e+00 5.58722e-01
9.79658e+00 3.08482e+00 5.46789e-01
1.07647e+01 2.47311e+00 2.35280e-01
1.00000e+00 3.39904e+00 5.35578e-01
2.00000e+00 3.39904e+00 4.51293e-01
2.96348e+00 3.39904e+00 4.71856e-01
3.96812e+00 3.39020e+00 4.57513e-01
4.94526e+00 3.39904e+00 3.60493e-01
5.76100e+00 3.39576e+00 4.54904e-01
6.79365e+00 3.68392e+00 6.01748e-01
8.12953e+00 3.70990e+00 5.96246e-01
9.16118e+00 3.83940e+00 4.52824e-01
1.04835e+01 3.52141e+00 2.68164e-01
1.50000e+00 4.39904e+00 4.75879e-01
2.50000e+00 4.39904e+00 2.37212e-01
3.42836e+00 4.30922e+00 5.50189e-01
4.57106e+00 4.32714e+00 5.92512e-01
5.51063e+00 4.39904e+00 3.44590e-01
6.32374e+00 4.71856e+00 4.26074e-01
7.44445e+00 4.80225e+00 6.94379e-01
8.67077e+00 4.69585e+00 5.34943e-01
9.75325e+00 4.57850e+00 4.99880e-01
1.05378e+01 4.39903e+00 3.04731e-01
