# x y radius 
#  E:1.68e+06 E_potential:1.65e+06 E_contact:3.24e+04
6.84972e-01 2.03267e-01 2.03267e-01
1.27084e+00 4.26789e-01 4.26789e-01
3.10380e+00 3.84279e-01 3.84279e-01
4.57481e+00 3.90192e-01 3.90192e-01
5.23443e+00 2.88912e-01 2.88912e-01
6.24629e+00 3.14160e-01 3.14161e-01
6.99016e+00 4.55642e-01 4.55642e-01
8.04464e+00 6.24863e-01 6.24863e-01
9.15581e+00 5.15489e-01 5.15489e-01
1.03127e+01 6.87291e-01 6.87291e-01
4.84850e-01 8.51697e-01 4.84850e-01
1.59123e+00 1.06869e+00 3.06759e-01
2.21988e+00 5.40730e-01 5.40730e-01
3.83329e+00 3.78200e-01 3.78200e-01
5.14657e+00 1.03805e+00 4.96823e-01
5.71893e+00 4.93651e-01 2.53642e-01
6.19636e+00 1.17863e+00 5.90259e-01
7.29600e+00 1.54246e+00 6.11014e-01
8.74030e+00 1.21184e+00 3.13233e-01
9.52407e+00 1.69680e+00 6.32263e-01
1.08330e+00 1.34495e+00 3.03722e-01
2.17108e+00 1.53755e+00 4.58522e-01
2.97944e+00 1.17633e+00 4.56213e-01
4.06208e+00 1.36805e+00 6.65174e-01
4.94375e+00 1.84432e+00 3.40155e-01
5.51960e+00 1.67543e+00 2.66207e-01
6.46911e+00 2.12364e+00 4.05845e-01
8.37082e+00 1.98099e+00 5.58722e-01
1.02600e+01 2.60332e+00 5.46789e-01
1.07647e+01 1.46913e+00 2.35280e-01
5.35578e-01 1.94466e+00 5.35578e-01
1.49110e+00 2.11638e+00 4.51293e-01
2.34761e+00 2.44460e+00 4.71856e-01
3.18099e+00 2.04823e+00 4.57513e-01
4.42865e+00 2.31021e+00 3.60493e-01
5.64173e+00 2.35870e+00 4.54904e-01
6.36235e+00 3.11667e+00 6.01748e-01
7.48004e+00 2.70314e+00 5.96246e-01
9.10006e+00 2.67513e+00 4.52824e-01
1.07318e+01 1.95679e+00 2.68164e-01
9.47064e-01 2.86186e+00 4.75879e-01
2.58990e+00 3.10849e+00 2.37212e-01
3.37195e+00 3.02415e+00 5.50189e-01
4.48849e+00 3.24869e+00 5.92512e-01
5.41062e+00 3.11239e+00 3.44590e-01
5.63877e+00 3.84275e+00 4.26074e-01
7.33372e+00 3.96923e+00 6.94379e-01
8.39615e+00 3.35296e+00 5.34943e-01
9.64946e+00 3.44590e+00 4.99880e-01
1.06953e+01 3.33016e+00 3.04731e-01
