# x y radius 
#  E:1.68e+06 E_potential:1.65e+06 E_contact:3.25e+04
6.84549e-01 2.03267e-01 2.03267e-01
1.27044e+00 4.26789e-01 4.26789e-01
3.10324e+00 3.84279e-01 3.84279e-01
4.57422e+00 3.90192e-01 3.90192e-01
5.23398e+00 2.88912e-01 2.88912e-01
6.24652e+00 3.14160e-01 3.14161e-01
6.99028e+00 4.55642e-01 4.55642e-01
8.04470e+00 6.24863e-01 6.24863e-01
9.15583e+00 5.15489e-01 5.15489e-01
1.03127e+01 6.87291e-01 6.87291e-01
4.84850e-01 8.51997e-01 4.84850e-01
1.59060e+00 1.06875e+00 3.06759e-01
2.21946e+00 5.40730e-01 5.40730e-01
3.83278e+00 3.78200e-01 3.78200e-01
5.14607e+00 1.03787e+00 4.96823e-01
5.71882e+00 4.92821e-01 2.53642e-01
6.19564e+00 1.17836e+00 5.90259e-01
7.29528e+00 1.54149e+00 6.11014e-01
8.74006e+00 1.21174e+00 3.13233e-01
9.52359e+00 1.69652e+00 6.32263e-01
1.08294e+00 1.34582e+00 3.03722e-01
2.17054e+00 1.53754e+00 4.58522e-01
2.97902e+00 1.17646e+00 4.56213e-01
4.06184e+00 1.36796e+00 6.65174e-01
4.94354e+00 1.84412e+00 3.40155e-01
5.51913e+00 1.67510e+00 2.66207e-01
6.46872e+00 2.12330e+00 4.05845e-01
8.37001e+00 1.98062e+00 5.58722e-01
1.02595e+01 2.60301e+00 5.46789e-01
1.07647e+01 1.46915e+00 2.35280e-01
5.35578e-01 1.94602e+00 5.35578e-01
1.49118e+00 2.11717e+00 4.51293e-01
2.34804e+00 2.44443e+00 4.71856e-01
3.18141e+00 2.04832e+00 4.57513e-01
4.42889e+00 2.31019e+00 3.60493e-01
5.64121e+00 2.35821e+00 4.54904e-01
6.36108e+00 3.11628e+00 6.01748e-01
7.47839e+00 2.70201e+00 5.96246e-01
9.09940e+00 2.67463e+00 4.52824e-01
1.07318e+01 1.95683e+00 2.68164e-01
9.47630e-01 2.86300e+00 4.75879e-01
2.57200e+00 3.11472e+00 2.37212e-01
3.35381e+00 3.02766e+00 5.50189e-01
4.47075e+00 3.24971e+00 5.92512e-01
5.39153e+00 3.10609e+00 3.44590e-01
5.62914e+00 3.83363e+00 4.26074e-01
7.33273e+00 3.96819e+00 6.94379e-01
8.39468e+00 3.35144e+00 5.34943e-01
9.64872e+00 3.44543e+00 4.99880e-01
1.06953e+01 3.32952e+00 3.04731e-01
