# x y radius 
#  E:1.69e+06 E_potential:1.66e+06 E_contact:2.93e+04
6.98806e-01 2.03267e-01 2.03267e-01
1.28302e+00 4.26789e-01 4.26789e-01
3.12374e+00 3.84279e-01 3.84279e-01
4.59974e+00 3.90192e-01 3.90192e-01
5.25633e+00 2.88912e-01 2.88912e-01
6.23245e+00 3.14160e-01 3.14161e-01
6.97795e+00 4.55642e-01 4.55642e-01
8.03089e+00 6.24863e-01 6.24863e-01
9.15281e+00 5.15489e-01 5.15489e-01
1.03127e+01 6.87291e-01 6.87291e-01
4.84850e-01 8.43170e-01 4.84850e-01
1.60736e+00 1.06882e+00 3.06759e-01
2.23576e+00 5.40730e-01 5.40730e-01
3.85622e+00 3.78200e-01 3.78200e-01
5.17567e+00 1.04424e+00 4.96823e-01
5.72028e+00 5.30454e-01 2.53642e-01
6.23398e+00 1.18419e+00 5.90259e-01
7.32513e+00 1.61696e+00 6.11014e-01
8.75168e+00 1.20213e+00 3.13233e-01
9.54827e+00 1.69518e+00 6.32263e-01
1.08988e+00 1.32718e+00 3.03722e-01
2.19075e+00 1.53447e+00 4.58522e-01
2.99915e+00 1.17081e+00 4.56213e-01
4.08235e+00 1.37310e+00 6.65174e-01
4.96902e+00 1.84799e+00 3.40155e-01
5.55313e+00 1.68914e+00 2.66207e-01
6.45697e+00 2.13326e+00 4.05845e-01
8.41708e+00 1.97232e+00 5.58722e-01
1.02715e+01 2.61197e+00 5.46789e-01
1.07647e+01 1.46920e+00 2.35280e-01
5.35578e-01 1.92187e+00 5.35578e-01
1.49397e+00 2.09356e+00 4.51293e-01
2.34552e+00 2.44247e+00 4.71856e-01
3.18075e+00 2.04063e+00 4.57513e-01
4.45115e+00 2.31435e+00 3.60493e-01
5.63747e+00 2.38931e+00 4.54904e-01
6.52008e+00 3.12199e+00 6.01748e-01
7.64968e+00 2.78919e+00 5.96246e-01
9.13220e+00 2.67754e+00 4.52824e-01
1.07318e+01 1.95692e+00 2.68164e-01
9.48906e-01 2.83834e+00 4.75879e-01
2.78534e+00 2.99460e+00 2.37212e-01
3.56957e+00 2.95183e+00 5.50189e-01
4.66672e+00 3.23101e+00 5.92512e-01
5.58807e+00 3.17913e+00 3.44590e-01
5.85453e+00 3.89845e+00 4.26074e-01
7.42095e+00 4.05047e+00 6.94379e-01
8.55267e+00 3.46479e+00 5.34943e-01
9.66625e+00 3.45865e+00 4.99880e-01
1.06953e+01 3.34554e+00 3.04731e-01
