# x y radius 
#  E:1.79e+06 E_potential:1.74e+06 E_contact:4.71e+04
1.41809e+00 2.33266e-01 2.32990e-01
2.72215e+00 3.80450e-01 3.80218e-01
3.68819e+00 6.65111e-01 6.65128e-01
4.72130e+00 4.32606e-01 4.31887e-01
5.53571e+00 4.04374e-01 4.03819e-01
7.22684e+00 3.39662e-01 3.38241e-01
7.87273e+00 3.42033e-01 3.41989e-01
8.75432e+00 6.47778e-01 6.43623e-01
9.80589e+00 4.64056e-01 4.63184e-01
1.06106e+01 3.88836e-01 3.88986e-01
6.71731e-01 6.72891e-01 6.71199e-01
1.98706e+00 3.93888e-01 3.91586e-01
2.80172e+00 1.38849e+00 5.17664e-01
4.49194e+00 1.26245e+00 3.70764e-01
5.18488e+00 1.06933e+00 3.82737e-01
6.41933e+00 5.26142e-01 5.25718e-01
7.61041e+00 9.86214e-01 3.94094e-01
8.20022e+00 1.67348e+00 5.30428e-01
9.61938e+00 1.40781e+00 5.26545e-01
1.05410e+01 1.19326e+00 4.57867e-01
1.70803e+00 1.34877e+00 6.19692e-01
2.93767e+00 2.16783e+00 2.83282e-01
3.78467e+00 1.91198e+00 6.08212e-01
5.08247e+00 2.05729e+00 6.33911e-01
5.93058e+00 1.37224e+00 4.59874e-01
6.86738e+00 1.44156e+00 5.09639e-01
7.43812e+00 1.99893e+00 3.09351e-01
8.90103e+00 1.48258e+00 2.07912e-01
9.78212e+00 2.25240e+00 3.47997e-01
1.05515e+01 2.07010e+00 4.41607e-01
6.26627e-01 1.93884e+00 6.22815e-01
2.06681e+00 2.58083e+00 6.88169e-01
3.25790e+00 2.93638e+00 5.54866e-01
4.33128e+00 2.67651e+00 3.49066e-01
6.27168e+00 2.36629e+00 6.00572e-01
7.17126e+00 2.56408e+00 3.24071e-01
7.84697e+00 2.36607e+00 2.51765e-01
8.42151e+00 2.58237e+00 3.69479e-01
9.03045e+00 2.10877e+00 4.17631e-01
1.02375e+01 2.82007e+00 3.87796e-01
8.64191e-01 3.18071e+00 6.58928e-01
2.51736e+00 3.64249e+00 4.72142e-01
4.51329e+00 3.65591e+00 6.62709e-01
5.47196e+00 3.06908e+00 4.64746e-01
6.33572e+00 3.44830e+00 4.87337e-01
7.15599e+00 3.24920e+00 3.65321e-01
7.81259e+00 2.96796e+00 3.57996e-01
8.45024e+00 3.32181e+00 3.73733e-01
9.32354e+00 3.02229e+00 5.51890e-01
1.03912e+01 3.77881e+00 5.97682e-01
