# x y radius 
#  E:2.10e+06 E_potential:2.09e+06 E_contact:5.24e+03
1.45527e+00 2.03267e-01 2.03267e-01
2.04376e+00 4.26789e-01 4.26789e-01
3.46327e+00 3.84279e-01 3.84279e-01
4.50000e+00 3.90192e-01 3.90192e-01
5.50000e+00 2.88912e-01 2.88912e-01
6.34559e+00 3.14160e-01 3.14161e-01
7.10325e+00 4.55642e-01 4.55642e-01
8.15199e+00 6.24863e-01 6.24863e-01
9.19642e+00 1.01636e+00 5.15489e-01
1.03127e+01 6.87291e-01 6.87291e-01
8.52057e-01 9.98890e-01 4.84850e-01
1.64221e+00 1.03675e+00 3.06759e-01
2.80075e+00 1.02412e+00 5.40730e-01
3.90775e+00 9.97369e-01 3.78200e-01
5.40187e+00 1.19146e+00 4.96823e-01
6.07257e+00 8.56116e-01 2.53642e-01
6.71557e+00 1.40162e+00 5.90259e-01
7.84022e+00 1.80471e+00 6.11014e-01
8.74993e+00 1.69587e+00 3.13233e-01
9.90299e+00 1.91524e+00 6.32263e-01
1.50000e+00 1.99907e+00 3.03722e-01
2.43297e+00 1.99907e+00 4.58522e-01
3.34895e+00 2.03673e+00 4.56213e-01
4.46340e+00 1.87356e+00 6.65174e-01
5.52682e+00 2.01732e+00 3.40155e-01
6.13220e+00 2.02636e+00 2.66207e-01
6.98684e+00 2.35417e+00 4.05845e-01
8.73081e+00 2.55755e+00 5.58722e-01
9.92846e+00 3.07864e+00 5.46789e-01
1.07647e+01 2.11190e+00 2.35280e-01
1.00000e+00 2.99907e+00 5.35578e-01
2.00000e+00 2.99907e+00 4.51293e-01
2.95002e+00 2.99906e+00 4.71856e-01
3.96812e+00 2.98745e+00 4.57513e-01
4.94526e+00 2.99907e+00 3.60493e-01
5.76100e+00 3.00647e+00 4.54904e-01
6.80473e+00 3.61893e+00 6.01748e-01
8.04072e+00 3.59069e+00 5.96246e-01
9.08035e+00 3.58233e+00 4.52824e-01
1.07318e+01 3.04504e+00 2.68164e-01
1.50000e+00 3.99907e+00 4.75879e-01
2.50000e+00 3.99907e+00 2.37212e-01
3.42836e+00 3.90291e+00 5.50189e-01
4.57106e+00 3.93186e+00 5.92512e-01
5.51063e+00 3.99907e+00 3.44590e-01
6.29357e+00 4.50343e+00 4.26074e-01
7.44581e+00 4.75470e+00 6.94379e-01
8.69900e+00 4.50216e+00 5.34943e-01
9.85678e+00 4.13177e+00 4.99880e-01
1.06513e+01 3.99899e+00 3.04731e-01
