# x y radius 
#  E:1.69e+06 E_potential:1.66e+06 E_contact:2.91e+04
6.95783e-01 2.03267e-01 2.03267e-01
1.28036e+00 4.26789e-01 4.26789e-01
3.11933e+00 3.84279e-01 3.84279e-01
4.59389e+00 3.90192e-01 3.90192e-01
5.25007e+00 2.88912e-01 2.88912e-01
6.22713e+00 3.14160e-01 3.14161e-01
6.97290e+00 4.55642e-01 4.55642e-01
8.02603e+00 6.24863e-01 6.24863e-01
9.14974e+00 5.15489e-01 5.15489e-01
1.03127e+01 6.87291e-01 6.87291e-01
4.84850e-01 8.45022e-01 4.84850e-01
1.60428e+00 1.06921e+00 3.06759e-01
2.23202e+00 5.40730e-01 5.40730e-01
3.85115e+00 3.78200e-01 3.78200e-01
5.16945e+00 1.04393e+00 4.96823e-01
5.71404e+00 5.29263e-01 2.53642e-01
6.22728e+00 1.18261e+00 5.90259e-01
7.31652e+00 1.61606e+00 6.11014e-01
8.74523e+00 1.20245e+00 3.13233e-01
9.54060e+00 1.69504e+00 6.32263e-01
1.08857e+00 1.33082e+00 3.03722e-01
2.18754e+00 1.53551e+00 4.58522e-01
2.99475e+00 1.17036e+00 4.56213e-01
4.07680e+00 1.37339e+00 6.65174e-01
4.96271e+00 1.84829e+00 3.40155e-01
5.54682e+00 1.68794e+00 2.66207e-01
6.44561e+00 2.13121e+00 4.05845e-01
8.40682e+00 1.97296e+00 5.58722e-01
1.02746e+01 2.60333e+00 5.46789e-01
1.07647e+01 1.46533e+00 2.35280e-01
5.35578e-01 1.92641e+00 5.35578e-01
1.49223e+00 2.09560e+00 4.51293e-01
2.34157e+00 2.44499e+00 4.71856e-01
3.17406e+00 2.04013e+00 4.57513e-01
4.44386e+00 2.31494e+00 3.60493e-01
5.62576e+00 2.38788e+00 4.54904e-01
6.57872e+00 3.11206e+00 6.01748e-01
7.73443e+00 2.87500e+00 5.96246e-01
9.12287e+00 2.67935e+00 4.52824e-01
1.07318e+01 1.95018e+00 2.68164e-01
9.49989e-01 2.84244e+00 4.75879e-01
2.85090e+00 2.93341e+00 2.37212e-01
3.63566e+00 2.91621e+00 5.50189e-01
4.72716e+00 3.21306e+00 5.92512e-01
5.64847e+00 3.17821e+00 3.44590e-01
5.91844e+00 3.89495e+00 4.26074e-01
7.39668e+00 4.11226e+00 6.94379e-01
8.64635e+00 3.53491e+00 5.34943e-01
9.67536e+00 3.45084e+00 4.99880e-01
1.06953e+01 3.33868e+00 3.04731e-01
