# x y radius 
#  E:1.90e+06 E_potential:1.88e+06 E_contact:1.22e+04
9.56349e-01 2.03267e-01 2.03267e-01
1.53049e+00 4.26789e-01 4.26789e-01
3.14947e+00 3.84279e-01 3.84279e-01
4.59255e+00 3.90192e-01 3.90192e-01
5.67212e+00 2.88912e-01 2.88912e-01
6.28139e+00 3.14160e-01 3.14161e-01
7.02241e+00 4.55642e-01 4.55642e-01
8.06336e+00 6.24863e-01 6.24863e-01
9.15320e+00 8.34135e-01 5.15489e-01
1.03127e+01 6.87291e-01 6.87291e-01
4.84850e-01 6.78765e-01 4.84850e-01
1.16972e+00 1.05921e+00 3.06759e-01
2.37971e+00 8.52622e-01 5.40730e-01
3.86485e+00 5.78275e-01 3.78200e-01
5.25639e+00 9.46062e-01 4.96823e-01
5.95064e+00 7.44724e-01 2.53642e-01
6.50760e+00 1.34749e+00 5.90259e-01
7.61466e+00 1.75638e+00 6.11014e-01
8.56395e+00 1.41215e+00 3.13233e-01
9.72221e+00 1.82756e+00 6.32263e-01
8.50773e-01 1.57917e+00 3.03722e-01
1.71373e+00 1.58797e+00 4.58522e-01
3.15560e+00 1.55304e+00 4.56213e-01
4.27010e+00 1.52791e+00 6.65174e-01
5.23819e+00 1.77760e+00 3.40155e-01
5.83274e+00 1.86169e+00 2.66207e-01
6.76061e+00 2.30511e+00 4.05845e-01
8.63955e+00 2.27772e+00 5.58722e-01
1.00944e+01 2.92921e+00 5.46789e-01
1.07647e+01 1.53512e+00 2.35280e-01
9.21447e-01 2.49911e+00 5.35578e-01
1.90820e+00 2.49911e+00 4.51293e-01
2.83109e+00 2.49905e+00 4.71856e-01
3.75989e+00 2.51975e+00 4.57513e-01
4.94143e+00 2.49911e+00 3.60493e-01
5.75365e+00 2.57423e+00 4.54904e-01
6.80369e+00 3.49657e+00 6.01748e-01
7.99187e+00 3.38608e+00 5.96246e-01
9.10501e+00 3.16730e+00 4.52824e-01
1.07318e+01 2.42174e+00 2.68164e-01
1.50000e+00 3.49911e+00 4.75879e-01
2.50000e+00 3.49911e+00 2.37212e-01
3.40401e+00 3.45600e+00 5.50189e-01
4.57106e+00 3.43478e+00 5.92512e-01
5.51063e+00 3.49911e+00 3.44590e-01
6.20046e+00 4.32058e+00 4.26074e-01
7.44581e+00 4.66959e+00 6.94379e-01
8.79274e+00 4.17313e+00 5.34943e-01
9.79393e+00 3.92361e+00 4.99880e-01
1.06953e+01 3.52640e+00 3.04731e-01
