# x y radius 
#  E:1.79e+06 E_potential:1.74e+06 E_contact:4.74e+04
1.41985e+00 2.33369e-01 2.32990e-01
2.72429e+00 3.80603e-01 3.80218e-01
3.68972e+00 6.66543e-01 6.65128e-01
4.72270e+00 4.32858e-01 4.31887e-01
5.53652e+00 4.04382e-01 4.03819e-01
7.22623e+00 3.39582e-01 3.38241e-01
7.87165e+00 3.41973e-01 3.41989e-01
8.75377e+00 6.45039e-01 6.43623e-01
9.80594e+00 4.63385e-01 4.63184e-01
1.06108e+01 3.89521e-01 3.88986e-01
6.72520e-01 6.73251e-01 6.71199e-01
1.98947e+00 3.92847e-01 3.91586e-01
2.80268e+00 1.38923e+00 5.17664e-01
4.49318e+00 1.26350e+00 3.70764e-01
5.18619e+00 1.06973e+00 3.82737e-01
6.41971e+00 5.27459e-01 5.25718e-01
7.61213e+00 9.87096e-01 3.94094e-01
8.20170e+00 1.67406e+00 5.30428e-01
9.61826e+00 1.40682e+00 5.26545e-01
1.05406e+01 1.19282e+00 4.57867e-01
1.70831e+00 1.34787e+00 6.19692e-01
2.93895e+00 2.16849e+00 2.83282e-01
3.78567e+00 1.91314e+00 6.08212e-01
5.08419e+00 2.05739e+00 6.33911e-01
5.93198e+00 1.37295e+00 4.59874e-01
6.86884e+00 1.44182e+00 5.09639e-01
7.43924e+00 1.99949e+00 3.09351e-01
8.90067e+00 1.47964e+00 2.07912e-01
9.78385e+00 2.25168e+00 3.47997e-01
1.05537e+01 2.06898e+00 4.41607e-01
6.25443e-01 1.93897e+00 6.22815e-01
2.06776e+00 2.57982e+00 6.88169e-01
3.25790e+00 2.93755e+00 5.54866e-01
4.33307e+00 2.67600e+00 3.49066e-01
6.27324e+00 2.36663e+00 6.00572e-01
7.17277e+00 2.56513e+00 3.24071e-01
7.84754e+00 2.36707e+00 2.51765e-01
8.42203e+00 2.58220e+00 3.69479e-01
9.03191e+00 2.11059e+00 4.17631e-01
1.02403e+01 2.81891e+00 3.87796e-01
8.66238e-01 3.18080e+00 6.58928e-01
2.51613e+00 3.64253e+00 4.72142e-01
4.51324e+00 3.65483e+00 6.62709e-01
5.47270e+00 3.06919e+00 4.64746e-01
6.33641e+00 3.44875e+00 4.87337e-01
7.15705e+00 3.25037e+00 3.65321e-01
7.81425e+00 2.96981e+00 3.57996e-01
8.45334e+00 3.32115e+00 3.73733e-01
9.32731e+00 3.02367e+00 5.51890e-01
1.03991e+01 3.77674e+00 5.97682e-01
