# x y radius 
#  E:2.35e+06 E_potential:2.35e+06 E_contact:3.77e+03
1.50000e+00 4.99006e-01 2.03267e-01
2.50000e+00 4.99006e-01 4.26789e-01
3.50000e+00 4.99006e-01 3.84279e-01
4.50000e+00 4.99006e-01 3.90192e-01
5.50000e+00 4.99006e-01 2.88912e-01
6.42968e+00 4.99006e-01 3.14161e-01
7.19936e+00 4.85857e-01 4.55642e-01
8.26321e+00 6.32480e-01 6.24863e-01
9.24772e+00 1.18329e+00 5.15489e-01
1.03127e+01 7.07620e-01 6.87291e-01
1.00000e+00 1.49898e+00 4.84850e-01
2.00000e+00 1.49898e+00 3.06759e-01
3.00000e+00 1.49898e+00 5.40730e-01
4.00000e+00 1.49898e+00 3.78200e-01
5.24959e+00 1.58160e+00 4.96823e-01
5.98315e+00 1.45371e+00 2.53642e-01
6.81789e+00 1.52898e+00 5.90259e-01
7.97613e+00 1.82276e+00 6.11014e-01
8.89031e+00 1.90620e+00 3.13233e-01
1.00785e+01 1.99591e+00 6.32263e-01
1.50000e+00 2.49904e+00 3.03722e-01
2.48126e+00 2.49904e+00 4.58522e-01
3.40265e+00 2.52512e+00 4.56213e-01
4.51950e+00 2.47293e+00 6.65174e-01
5.56136e+00 2.50146e+00 3.40155e-01
6.50000e+00 2.49904e+00 2.66207e-01
7.21757e+00 2.49991e+00 4.05845e-01
8.72383e+00 2.74360e+00 5.58722e-01
9.77210e+00 3.12228e+00 5.46789e-01
1.07647e+01 2.52272e+00 2.35280e-01
1.00000e+00 3.49904e+00 5.35578e-01
2.00000e+00 3.49904e+00 4.51293e-01
2.96723e+00 3.49903e+00 4.71856e-01
3.96812e+00 3.49132e+00 4.57513e-01
4.94526e+00 3.49904e+00 3.60493e-01
5.76101e+00 3.49152e+00 4.54904e-01
6.79830e+00 3.69886e+00 6.01748e-01
8.14180e+00 3.73396e+00 5.96246e-01
9.16741e+00 3.89970e+00 4.52824e-01
1.04057e+01 3.63302e+00 2.68164e-01
1.50000e+00 4.49904e+00 4.75879e-01
2.50000e+00 4.49904e+00 2.37212e-01
3.42836e+00 4.41182e+00 5.50189e-01
4.57106e+00 4.42524e+00 5.92512e-01
5.51063e+00 4.49904e+00 3.44590e-01
6.32454e+00 4.81910e+00 4.26074e-01
7.44404e+00 4.80562e+00 6.94379e-01
8.67014e+00 4.74866e+00 5.34943e-01
9.72664e+00 4.66397e+00 4.99880e-01
1.05190e+01 4.49903e+00 3.04731e-01
